,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,563.0,89.0,9.0,0.0,cyberT,0.1
1,466.0,67.0,0.0,0.0,modT,0.1
2,438.0,70.0,0.0,0.0,t test (1-sample),0.1
3,513.0,79.0,0.0,0.0,t-test,0.1
4,498.0,72.0,0.0,0.0,modT (2-sample),0.1
5,497.0,97.0,3.0,1.0,cyberT,0.1
6,418.0,82.0,0.0,0.0,modT,0.1
7,444.0,78.0,0.0,0.0,t test (1-sample),0.1
8,435.0,86.0,0.0,0.0,t-test,0.1
9,429.0,89.0,0.0,0.0,modT (2-sample),0.1
10,549.0,97.0,5.0,2.0,cyberT,0.1
11,452.0,81.0,0.0,0.0,modT,0.1
12,482.0,74.0,0.0,0.0,t test (1-sample),0.1
13,470.0,80.0,0.0,0.0,t-test,0.1
14,477.0,90.0,0.0,0.0,modT (2-sample),0.1
15,504.0,86.0,10.0,1.0,cyberT,0.1
16,443.0,76.0,0.0,0.0,modT,0.1
17,486.0,76.0,0.0,0.0,t test (1-sample),0.1
18,457.0,83.0,0.0,0.0,t-test,0.1
19,454.0,84.0,0.0,0.0,modT (2-sample),0.1
20,539.0,90.0,0.0,0.0,cyberT,0.1
21,479.0,82.0,0.0,0.0,modT,0.1
22,438.0,62.0,0.0,0.0,t test (1-sample),0.1
23,408.0,70.0,0.0,0.0,t-test,0.1
24,455.0,85.0,0.0,0.0,modT (2-sample),0.1
25,578.0,96.0,6.0,1.0,cyberT,0.1
26,500.0,86.0,0.0,0.0,modT,0.1
27,499.0,70.0,0.0,0.0,t test (1-sample),0.1
28,487.0,93.0,2.0,0.0,t-test,0.1
29,491.0,89.0,0.0,0.0,modT (2-sample),0.1
30,527.0,91.0,1.0,0.0,cyberT,0.1
31,478.0,79.0,0.0,0.0,modT,0.1
32,450.0,66.0,0.0,0.0,t test (1-sample),0.1
33,448.0,85.0,0.0,0.0,t-test,0.1
34,448.0,83.0,0.0,0.0,modT (2-sample),0.1
35,529.0,83.0,0.0,0.0,cyberT,0.1
36,464.0,70.0,0.0,0.0,modT,0.1
37,449.0,59.0,0.0,0.0,t test (1-sample),0.1
38,459.0,86.0,0.0,0.0,t-test,0.1
39,473.0,77.0,0.0,0.0,modT (2-sample),0.1
40,531.0,94.0,1.0,0.0,cyberT,0.1
41,474.0,89.0,0.0,0.0,modT,0.1
42,431.0,73.0,0.0,0.0,t test (1-sample),0.1
43,460.0,77.0,0.0,0.0,t-test,0.1
44,474.0,86.0,0.0,0.0,modT (2-sample),0.1
45,571.0,86.0,10.0,2.0,cyberT,0.1
46,506.0,80.0,0.0,0.0,modT,0.1
47,477.0,70.0,0.0,1.0,t test (1-sample),0.1
48,489.0,80.0,0.0,0.0,t-test,0.1
49,509.0,85.0,0.0,0.0,modT (2-sample),0.1
50,531.0,100.0,3.0,0.0,cyberT,0.1
51,438.0,92.0,0.0,0.0,modT,0.1
52,442.0,67.0,0.0,0.0,t test (1-sample),0.1
53,438.0,82.0,0.0,0.0,t-test,0.1
54,442.0,92.0,0.0,0.0,modT (2-sample),0.1
55,528.0,87.0,2.0,0.0,cyberT,0.1
56,466.0,81.0,0.0,0.0,modT,0.1
57,442.0,70.0,0.0,0.0,t test (1-sample),0.1
58,440.0,84.0,0.0,0.0,t-test,0.1
59,449.0,81.0,0.0,0.0,modT (2-sample),0.1
60,550.0,93.0,11.0,2.0,cyberT,0.1
61,501.0,87.0,0.0,0.0,modT,0.1
62,506.0,66.0,0.0,0.0,t test (1-sample),0.1
63,467.0,86.0,0.0,0.0,t-test,0.1
64,479.0,88.0,0.0,0.0,modT (2-sample),0.1
65,459.0,97.0,6.0,0.0,cyberT,0.1
66,388.0,83.0,0.0,0.0,modT,0.1
67,425.0,56.0,0.0,0.0,t test (1-sample),0.1
68,444.0,75.0,0.0,0.0,t-test,0.1
69,404.0,91.0,1.0,0.0,modT (2-sample),0.1
70,507.0,87.0,6.0,1.0,cyberT,0.1
71,418.0,72.0,0.0,0.0,modT,0.1
72,470.0,71.0,0.0,0.0,t test (1-sample),0.1
73,482.0,78.0,0.0,0.0,t-test,0.1
74,464.0,81.0,0.0,0.0,modT (2-sample),0.1
75,537.0,91.0,1.0,0.0,cyberT,0.1
76,466.0,84.0,0.0,0.0,modT,0.1
