,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,484.0,73.0,0.0,0.0,cyberT,0.1
1,452.0,73.0,0.0,0.0,modT,0.1
2,463.0,57.0,0.0,0.0,t test (1-sample),0.1
3,431.0,52.0,0.0,0.0,t-test,0.1
4,436.0,72.0,0.0,0.0,modT (2-sample),0.1
5,491.0,86.0,0.0,0.0,cyberT,0.1
6,434.0,85.0,0.0,0.0,modT,0.1
7,493.0,50.0,0.0,0.0,t test (1-sample),0.1
8,476.0,69.0,0.0,0.0,t-test,0.1
9,439.0,88.0,0.0,0.0,modT (2-sample),0.1
10,474.0,95.0,0.0,0.0,cyberT,0.1
11,470.0,87.0,0.0,0.0,modT,0.1
12,421.0,62.0,0.0,0.0,t test (1-sample),0.1
13,437.0,82.0,0.0,0.0,t-test,0.1
14,464.0,86.0,0.0,0.0,modT (2-sample),0.1
15,489.0,78.0,0.0,0.0,cyberT,0.1
16,454.0,76.0,0.0,0.0,modT,0.1
17,470.0,52.0,0.0,0.0,t test (1-sample),0.1
18,451.0,56.0,0.0,0.0,t-test,0.1
19,450.0,76.0,0.0,0.0,modT (2-sample),0.1
20,450.0,78.0,0.0,0.0,cyberT,0.1
21,429.0,75.0,0.0,0.0,modT,0.1
22,416.0,50.0,0.0,0.0,t test (1-sample),0.1
23,403.0,63.0,0.0,0.0,t-test,0.1
24,431.0,75.0,0.0,0.0,modT (2-sample),0.1
25,468.0,98.0,0.0,0.0,cyberT,0.1
26,427.0,88.0,1.0,0.0,modT,0.1
27,414.0,54.0,0.0,0.0,t test (1-sample),0.1
28,428.0,80.0,0.0,0.0,t-test,0.1
29,431.0,88.0,1.0,0.0,modT (2-sample),0.1
30,502.0,99.0,0.0,0.0,cyberT,0.1
31,469.0,98.0,0.0,0.0,modT,0.1
32,448.0,77.0,0.0,0.0,t test (1-sample),0.1
33,454.0,93.0,0.0,0.0,t-test,0.1
34,470.0,96.0,0.0,0.0,modT (2-sample),0.1
35,463.0,85.0,0.0,0.0,cyberT,0.1
36,426.0,83.0,0.0,0.0,modT,0.1
37,454.0,61.0,0.0,0.0,t test (1-sample),0.1
38,478.0,71.0,0.0,0.0,t-test,0.1
39,429.0,81.0,0.0,0.0,modT (2-sample),0.1
40,482.0,67.0,0.0,0.0,cyberT,0.1
41,478.0,71.0,0.0,0.0,modT,0.1
42,456.0,58.0,0.0,0.0,t test (1-sample),0.1
43,440.0,58.0,0.0,0.0,t-test,0.1
44,479.0,70.0,0.0,0.0,modT (2-sample),0.1
45,458.0,83.0,0.0,0.0,cyberT,0.1
46,440.0,80.0,0.0,0.0,modT,0.1
47,434.0,54.0,0.0,0.0,t test (1-sample),0.1
48,467.0,65.0,0.0,0.0,t-test,0.1
49,439.0,80.0,0.0,0.0,modT (2-sample),0.1
50,460.0,72.0,0.0,0.0,cyberT,0.1
51,384.0,65.0,0.0,0.0,modT,0.1
52,455.0,60.0,0.0,0.0,t test (1-sample),0.1
53,458.0,74.0,0.0,0.0,t-test,0.1
54,429.0,73.0,0.0,0.0,modT (2-sample),0.1
55,486.0,71.0,0.0,0.0,cyberT,0.1
56,440.0,72.0,0.0,0.0,modT,0.1
57,455.0,61.0,0.0,0.0,t test (1-sample),0.1
58,455.0,59.0,0.0,0.0,t-test,0.1
59,448.0,72.0,0.0,0.0,modT (2-sample),0.1
60,434.0,83.0,0.0,0.0,cyberT,0.1
61,402.0,83.0,0.0,0.0,modT,0.1
62,415.0,67.0,0.0,0.0,t test (1-sample),0.1
63,414.0,62.0,0.0,0.0,t-test,0.1
64,399.0,83.0,0.0,0.0,modT (2-sample),0.1
65,448.0,94.0,0.0,0.0,cyberT,0.1
66,425.0,89.0,0.0,0.0,modT,0.1
67,445.0,62.0,0.0,0.0,t test (1-sample),0.1
68,441.0,73.0,0.0,0.0,t-test,0.1
69,421.0,88.0,0.0,0.0,modT (2-sample),0.1
70,459.0,81.0,0.0,0.0,cyberT,0.1
71,448.0,74.0,0.0,0.0,modT,0.1
72,454.0,51.0,0.0,0.0,t test (1-sample),0.1
73,458.0,68.0,0.0,0.0,t-test,0.1
74,443.0,73.0,0.0,0.0,modT (2-sample),0.1
75,469.0,80.0,0.0,0.0,cyberT,0.1
76,463.0,83.0,0.0,0.0,modT,0.1
77,478.0,68.0,0.0,0.0,t test (1-sample),0.1
78,449.0,78.0,0.0,0.0,t-test,0.1
79,455.0,83.0,0.0,0.0,modT (2-sample),0.1
80,467.0,61.0,0.0,0.0,cyberT,0.1
81,436.0,58.0,0.0,0.0,modT,0.1
82,425.0,38.0,0.0,0.0,t test (1-sample),0.1
83,443.0,56.0,0.0,0.0,t-test,0.1
84,447.0,58.0,0.0,0.0,modT (2-sample),0.1
85,443.0,100.0,0.0,0.0,cyberT,0.1
86,417.0,87.0,1.0,0.0,modT,0.1
87,457.0,58.0,0.0,0.0,t test (1-sample),0.1
88,453.0,72.0,0.0,0.0,t-test,0.1
89,427.0,89.0,1.0,0.0,modT (2-sample),0.1
90,495.0,92.0,0.0,0.0,cyberT,0.1
91,462.0,82.0,0.0,0.0,modT,0.1
92,467.0,56.0,0.0,0.0,t test (1-sample),0.1
93,465.0,68.0,0.0,0.0,t-test,0.1
94,468.0,82.0,0.0,0.0,modT (2-sample),0.1
95,453.0,96.0,0.0,0.0,cyberT,0.1
96,433.0,93.0,0.0,0.0,modT,0.1
97,438.0,66.0,0.0,0.0,t test (1-sample),0.1
98,424.0,74.0,0.0,0.0,t-test,0.1
99,422.0,93.0,0.0,0.0,modT (2-sample),0.1
100,481.0,75.0,0.0,0.0,cyberT,0.1
101,443.0,69.0,0.0,0.0,modT,0.1
102,445.0,77.0,0.0,0.0,t test (1-sample),0.1
103,434.0,77.0,0.0,0.0,t-test,0.1
104,459.0,70.0,1.0,0.0,modT (2-sample),0.1
105,473.0,79.0,0.0,0.0,cyberT,0.1
106,445.0,74.0,0.0,0.0,modT,0.1
107,445.0,56.0,1.0,0.0,t test (1-sample),0.1
108,448.0,58.0,0.0,0.0,t-test,0.1
109,459.0,76.0,0.0,0.0,modT (2-sample),0.1
110,474.0,93.0,0.0,0.0,cyberT,0.1
111,457.0,90.0,0.0,0.0,modT,0.1
112,424.0,59.0,0.0,0.0,t test (1-sample),0.1
113,445.0,68.0,0.0,0.0,t-test,0.1
114,455.0,91.0,0.0,0.0,modT (2-sample),0.1
115,468.0,83.0,0.0,0.0,cyberT,0.1
116,446.0,74.0,0.0,0.0,modT,0.1
117,427.0,60.0,0.0,0.0,t test (1-sample),0.1
118,422.0,73.0,0.0,0.0,t-test,0.1
119,455.0,75.0,0.0,0.0,modT (2-sample),0.1
120,490.0,82.0,0.0,0.0,cyberT,0.1
121,462.0,82.0,0.0,0.0,modT,0.1
122,430.0,70.0,0.0,0.0,t test (1-sample),0.1
123,467.0,60.0,0.0,0.0,t-test,0.1
124,465.0,82.0,0.0,0.0,modT (2-sample),0.1
125,409.0,66.0,0.0,0.0,cyberT,0.1
126,368.0,63.0,0.0,0.0,modT,0.1
127,437.0,50.0,0.0,0.0,t test (1-sample),0.1
128,405.0,60.0,0.0,0.0,t-test,0.1
129,378.0,64.0,0.0,0.0,modT (2-sample),0.1
130,460.0,92.0,0.0,0.0,cyberT,0.1
131,431.0,87.0,0.0,0.0,modT,0.1
132,430.0,56.0,0.0,0.0,t test (1-sample),0.1
133,457.0,69.0,0.0,0.0,t-test,0.1
134,438.0,90.0,0.0,0.0,modT (2-sample),0.1
135,467.0,88.0,0.0,0.0,cyberT,0.1
136,452.0,88.0,0.0,0.0,modT,0.1
137,458.0,60.0,0.0,0.0,t test (1-sample),0.1
138,446.0,75.0,0.0,0.0,t-test,0.1
139,444.0,86.0,0.0,0.0,modT (2-sample),0.1
140,448.0,88.0,0.0,0.0,cyberT,0.1
141,442.0,83.0,0.0,0.0,modT,0.1
142,451.0,65.0,0.0,0.0,t test (1-sample),0.1
143,425.0,73.0,0.0,0.0,t-test,0.1
144,440.0,83.0,0.0,0.0,modT (2-sample),0.1
145,466.0,74.0,0.0,0.0,cyberT,0.1
146,438.0,66.0,0.0,0.0,modT,0.1
147,434.0,69.0,0.0,0.0,t test (1-sample),0.1
148,439.0,68.0,0.0,0.0,t-test,0.1
149,439.0,66.0,0.0,0.0,modT (2-sample),0.1
150,475.0,68.0,0.0,0.0,cyberT,0.1
151,458.0,71.0,0.0,0.0,modT,0.1
152,463.0,50.0,0.0,0.0,t test (1-sample),0.1
153,471.0,74.0,0.0,0.0,t-test,0.1
154,462.0,71.0,0.0,0.0,modT (2-sample),0.1
155,452.0,89.0,0.0,0.0,cyberT,0.1
156,436.0,91.0,0.0,0.0,modT,0.1
157,455.0,69.0,0.0,0.0,t test (1-sample),0.1
158,447.0,79.0,0.0,0.0,t-test,0.1
159,443.0,92.0,0.0,0.0,modT (2-sample),0.1
160,475.0,86.0,0.0,0.0,cyberT,0.1
161,455.0,78.0,0.0,0.0,modT,0.1
162,419.0,65.0,0.0,0.0,t test (1-sample),0.1
163,426.0,85.0,1.0,0.0,t-test,0.1
164,462.0,78.0,0.0,0.0,modT (2-sample),0.1
165,514.0,89.0,0.0,0.0,cyberT,0.1
166,446.0,79.0,0.0,0.0,modT,0.1
167,426.0,59.0,0.0,0.0,t test (1-sample),0.1
168,442.0,78.0,0.0,0.0,t-test,0.1
169,469.0,84.0,0.0,0.0,modT (2-sample),0.1
170,463.0,77.0,0.0,0.0,cyberT,0.1
171,445.0,70.0,0.0,0.0,modT,0.1
172,435.0,56.0,0.0,0.0,t test (1-sample),0.1
173,422.0,60.0,0.0,0.0,t-test,0.1
174,456.0,71.0,0.0,0.0,modT (2-sample),0.1
175,455.0,81.0,0.0,0.0,cyberT,0.1
176,423.0,83.0,0.0,0.0,modT,0.1
177,436.0,50.0,0.0,0.0,t test (1-sample),0.1
178,444.0,72.0,0.0,0.0,t-test,0.1
179,423.0,83.0,0.0,0.0,modT (2-sample),0.1
180,518.0,86.0,0.0,0.0,cyberT,0.1
181,480.0,79.0,0.0,0.0,modT,0.1
182,456.0,52.0,0.0,0.0,t test (1-sample),0.1
183,468.0,59.0,0.0,0.0,t-test,0.1
184,477.0,78.0,0.0,0.0,modT (2-sample),0.1
185,472.0,80.0,0.0,0.0,cyberT,0.1
186,453.0,81.0,0.0,0.0,modT,0.1
187,453.0,66.0,0.0,0.0,t test (1-sample),0.1
188,454.0,67.0,1.0,0.0,t-test,0.1
189,454.0,82.0,0.0,0.0,modT (2-sample),0.1
190,487.0,74.0,0.0,0.0,cyberT,0.1
191,442.0,68.0,0.0,0.0,modT,0.1
192,494.0,66.0,0.0,0.0,t test (1-sample),0.1
193,463.0,59.0,0.0,0.0,t-test,0.1
194,454.0,71.0,0.0,0.0,modT (2-sample),0.1
195,503.0,88.0,0.0,0.0,cyberT,0.1
196,468.0,84.0,0.0,0.0,modT,0.1
197,435.0,52.0,0.0,0.0,t test (1-sample),0.1
198,428.0,67.0,0.0,0.0,t-test,0.1
199,476.0,89.0,0.0,0.0,modT (2-sample),0.1
200,467.0,68.0,0.0,0.0,cyberT,0.1
201,422.0,62.0,0.0,0.0,modT,0.1
202,447.0,55.0,0.0,0.0,t test (1-sample),0.1
203,422.0,51.0,0.0,0.0,t-test,0.1
204,433.0,65.0,0.0,1.0,modT (2-sample),0.1
205,522.0,71.0,0.0,0.0,cyberT,0.1
206,459.0,64.0,0.0,0.0,modT,0.1
207,435.0,62.0,0.0,0.0,t test (1-sample),0.1
208,466.0,65.0,0.0,0.0,t-test,0.1
209,476.0,67.0,0.0,0.0,modT (2-sample),0.1
210,433.0,80.0,0.0,0.0,cyberT,0.1
211,392.0,70.0,0.0,0.0,modT,0.1
212,468.0,57.0,0.0,0.0,t test (1-sample),0.1
213,454.0,69.0,0.0,0.0,t-test,0.1
214,410.0,72.0,0.0,0.0,modT (2-sample),0.1
215,479.0,81.0,0.0,0.0,cyberT,0.1
216,448.0,74.0,0.0,0.0,modT,0.1
217,460.0,70.0,0.0,0.0,t test (1-sample),0.1
218,466.0,79.0,0.0,0.0,t-test,0.1
219,457.0,75.0,0.0,0.0,modT (2-sample),0.1
