,AUROC,AUPRC,pAUROC,labels,setting
0,0.0,0.0,0.0,"Uniform, all: ModT",-0.1<=fc<0.1d
1,0.0,0.0,0.0,"Uniform, all: CyberT",-0.1<=fc<0.1d
2,0.0,0.0,0.0,"Uniform, all: fold_change",-0.1<=fc<0.1d
3,0.0,0.0,0.0,Normal: ModT,-0.1<=fc<0.1d
4,0.0,0.0,0.0,Normal: CyberT,-0.1<=fc<0.1d
5,0.0,0.0,0.0,Normal: fold_change,-0.1<=fc<0.1d
6,0.0,0.0,0.0,"Normal, all: ModT",-0.1<=fc<0.1d
7,0.0,0.0,0.0,"Normal, all: CyberT",-0.1<=fc<0.1d
8,0.0,0.0,0.0,"Normal, all: fold_change",-0.1<=fc<0.1d
9,0.0,0.0,0.0,"Uniform, all: ModT",-0.1<=fc<0.1d
10,0.0,0.0,0.0,"Uniform, all: CyberT",-0.1<=fc<0.1d
11,0.0,0.0,0.0,"Uniform, all: fold_change",-0.1<=fc<0.1d
12,0.0,0.0,0.0,Normal: ModT,-0.1<=fc<0.1d
13,0.0,0.0,0.0,Normal: CyberT,-0.1<=fc<0.1d
14,0.0,0.0,0.0,Normal: fold_change,-0.1<=fc<0.1d
15,0.0,0.0,0.0,"Normal, all: ModT",-0.1<=fc<0.1d
16,0.0,0.0,0.0,"Normal, all: CyberT",-0.1<=fc<0.1d
17,0.0,0.0,0.0,"Normal, all: fold_change",-0.1<=fc<0.1d
18,0.0,0.0,0.0,"Uniform, all: ModT",-0.1<=fc<0.1d
19,0.0,0.0,0.0,"Uniform, all: CyberT",-0.1<=fc<0.1d
20,0.0,0.0,0.0,"Uniform, all: fold_change",-0.1<=fc<0.1d
21,0.0,0.0,0.0,Normal: ModT,-0.1<=fc<0.1d
22,0.0,0.0,0.0,Normal: CyberT,-0.1<=fc<0.1d
23,0.0,0.0,0.0,Normal: fold_change,-0.1<=fc<0.1d
24,0.0,0.0,0.0,"Normal, all: ModT",-0.1<=fc<0.1d
25,0.0,0.0,0.0,"Normal, all: CyberT",-0.1<=fc<0.1d
26,0.0,0.0,0.0,"Normal, all: fold_change",-0.1<=fc<0.1d
27,0.0,0.0,0.0,"Uniform, all: ModT",-0.1<=fc<0.1d
28,0.0,0.0,0.0,"Uniform, all: CyberT",-0.1<=fc<0.1d
29,0.0,0.0,0.0,"Uniform, all: fold_change",-0.1<=fc<0.1d
30,0.0,0.0,0.0,Normal: ModT,-0.1<=fc<0.1d
31,0.0,0.0,0.0,Normal: CyberT,-0.1<=fc<0.1d
32,0.0,0.0,0.0,Normal: fold_change,-0.1<=fc<0.1d
33,0.0,0.0,0.0,"Normal, all: ModT",-0.1<=fc<0.1d
34,0.0,0.0,0.0,"Normal, all: CyberT",-0.1<=fc<0.1d
35,0.0,0.0,0.0,"Normal, all: fold_change",-0.1<=fc<0.1d
