,AUROC,AUPRC,pAUROC,labels,setting
0,0.5220959,0.110757634,0.0344,fold change,0.1
1,0.50853705,0.10343516,0.026697777,t-test-1,0.1
2,0.5175659,0.10817471,0.032366667,t-test-2,0.1
3,0.5220959,0.110757634,0.0344,modT-1,0.1
4,0.5220959,0.110757634,0.0344,modT-2,0.1
5,0.52243346,0.111632176,0.036482222,modT-1 trend,0.1
6,0.5221646,0.110797964,0.034344446,modT-2 trend,0.1
7,0.52138007,0.111131325,0.037057776,cyberT,0.1
8,0.53065825,0.114577495,0.03884,fold change,0.1
9,0.5246468,0.10760674,0.027195556,t-test-1,0.1
10,0.5277464,0.1107668,0.031815555,t-test-2,0.1
11,0.5305031,0.11434988,0.038002223,modT-1,0.1
12,0.53065735,0.11457146,0.03884,modT-2,0.1
13,0.5303592,0.11375134,0.03731778,modT-1 trend,0.1
14,0.53056026,0.11443294,0.03850889,modT-2 trend,0.1
15,0.53053063,0.114066705,0.037964445,cyberT,0.1
16,0.53906643,0.12336891,0.046935555,fold change,0.1
17,0.53823555,0.11502365,0.035764445,t-test-1,0.1
18,0.53743875,0.12035141,0.04690222,t-test-2,0.1
19,0.53906643,0.12336891,0.046935555,modT-1,0.1
20,0.53906643,0.12336891,0.046935555,modT-2,0.1
21,0.5385277,0.12358425,0.04695333,modT-1 trend,0.1
22,0.53895944,0.12350871,0.047062222,modT-2 trend,0.1
23,0.53939366,0.12711482,0.051733334,cyberT,0.1
24,0.5362891,0.11555557,0.039184444,fold change,0.1
25,0.5299379,0.10728584,0.023824444,t-test-1,0.1
26,0.53890324,0.11757861,0.03904,t-test-2,0.1
27,0.5362891,0.11555557,0.039184444,modT-1,0.1
28,0.5363355,0.11562447,0.03929778,modT-2,0.1
29,0.53665423,0.11431412,0.03683111,modT-1 trend,0.1
30,0.53637385,0.115643375,0.039306667,modT-2 trend,0.1
31,0.5372204,0.11759499,0.042704444,cyberT,0.1
32,0.54514086,0.1181977,0.04228889,fold change,0.1
33,0.53955674,0.11005445,0.024853334,t-test-1,0.1
34,0.53958184,0.115418,0.04056,t-test-2,0.1
35,0.5449778,0.11777714,0.04142222,modT-1,0.1
36,0.5450041,0.117947996,0.042026665,modT-2,0.1
37,0.5475657,0.11843109,0.040824443,modT-1 trend,0.1
38,0.5450052,0.11799165,0.042157777,modT-2 trend,0.1
39,0.5446662,0.11764355,0.04196222,cyberT,0.1
40,0.55251515,0.120640635,0.041013334,fold change,0.1
41,0.543869,0.1136485,0.034926668,t-test-1,0.1
42,0.54566085,0.11421151,0.03221111,t-test-2,0.1
43,0.55251515,0.120640635,0.041013334,modT-1,0.1
44,0.5525128,0.12062319,0.04100889,modT-2,0.1
45,0.5533148,0.12061281,0.04018889,modT-1 trend,0.1
46,0.5526572,0.12060523,0.041164443,modT-2 trend,0.1
47,0.55166423,0.11951476,0.039137777,cyberT,0.1
48,0.5242342,0.11674539,0.04227778,fold change,0.1
49,0.51282626,0.10359705,0.028137777,t-test-1,0.1
50,0.51898426,0.109250054,0.028782222,t-test-2,0.1
51,0.5242137,0.11678847,0.042244446,modT-1,0.1
52,0.5242342,0.11674539,0.04227778,modT-2,0.1
53,0.5220761,0.11451593,0.040015556,modT-1 trend,0.1
54,0.5241469,0.11674746,0.042473335,modT-2 trend,0.1
55,0.52370614,0.11653406,0.041448887,cyberT,0.1
56,0.53598994,0.11484031,0.041213334,fold change,0.1
57,0.5295892,0.10780489,0.023997778,t-test-1,0.1
58,0.5284445,0.107724875,0.029764444,t-test-2,0.1
59,0.53598344,0.11482886,0.041197777,modT-1,0.1
60,0.53598994,0.11484031,0.041213334,modT-2,0.1
61,0.5354778,0.115516305,0.04327111,modT-1 trend,0.1
62,0.53596145,0.11482458,0.041244444,modT-2 trend,0.1
63,0.5346175,0.11370146,0.037802223,cyberT,0.1
64,0.55633855,0.12319453,0.051566668,fold change,0.1
65,0.5516633,0.11776395,0.032986667,t-test-1,0.1
66,0.55621195,0.120682046,0.038975555,t-test-2,0.1
67,0.55634874,0.12319401,0.051555555,modT-1,0.1
68,0.5563896,0.12319987,0.051386666,modT-2,0.1
69,0.5578802,0.12448831,0.052922223,modT-1 trend,0.1
70,0.5563037,0.12317779,0.051386666,modT-2 trend,0.1
71,0.55686224,0.122844994,0.048608888,cyberT,0.1
72,0.5374755,0.11996901,0.045773335,fold change,0.1
73,0.5268498,0.111533694,0.032266665,t-test-1,0.1
74,0.53570837,0.11635363,0.037751112,t-test-2,0.1
75,0.53761077,0.12008468,0.0462,modT-1,0.1
76,0.53767306,0.120210014,0.046351112,modT-2,0.1
77,0.5373936,0.12289573,0.05222,modT-1 trend,0.1
78,0.53773576,0.12031637,0.04645111,modT-2 trend,0.1
79,0.5381286,0.12129853,0.048315555,cyberT,0.1
80,0.55582464,0.13238972,0.050053332,fold change,0.1
81,0.54544485,0.1158937,0.036115557,t-test-1,0.1
82,0.5562669,0.12145485,0.04015111,t-test-2,0.1
83,0.555946,0.13234073,0.049713332,modT-1,0.1
84,0.5558222,0.13238771,0.050046667,modT-2,0.1
85,0.555897,0.1320145,0.04944667,modT-1 trend,0.1
86,0.5558583,0.13272029,0.05023778,modT-2 trend,0.1
87,0.55709916,0.13066684,0.049404446,cyberT,0.1
88,0.5425422,0.122583754,0.052293334,fold change,0.1
89,0.5235775,0.109228484,0.03490889,t-test-1,0.1
90,0.5328145,0.11112617,0.031095555,t-test-2,0.1
91,0.5422515,0.12231154,0.051791113,modT-1,0.1
92,0.5424871,0.12245956,0.052075557,modT-2,0.1
93,0.53958,0.12279992,0.053002223,modT-1 trend,0.1
94,0.5421961,0.12229094,0.051884446,modT-2 trend,0.1
95,0.5406525,0.12005367,0.046133332,cyberT,0.1
96,0.53667355,0.12003707,0.04360889,fold change,0.1
97,0.522401,0.10610085,0.025875555,t-test-1,0.1
98,0.527481,0.11145473,0.036024444,t-test-2,0.1
99,0.53667355,0.12003707,0.04360889,modT-1,0.1
100,0.53667355,0.12003707,0.04360889,modT-2,0.1
101,0.5355574,0.11830386,0.041646667,modT-1 trend,0.1
102,0.5367412,0.12006156,0.0436,modT-2 trend,0.1
103,0.5359556,0.11886447,0.042571113,cyberT,0.1
104,0.5338301,0.117889345,0.041811112,fold change,0.1
105,0.5209517,0.107026175,0.029355556,t-test-1,0.1
106,0.52369577,0.1077887,0.03151111,t-test-2,0.1
107,0.5338301,0.117889345,0.041811112,modT-1,0.1
108,0.5337087,0.117672,0.041833334,modT-2,0.1
109,0.5308644,0.11618655,0.041757777,modT-1 trend,0.1
110,0.5336507,0.117683075,0.041815557,modT-2 trend,0.1
111,0.53219515,0.1143002,0.041173335,cyberT,0.1
112,0.5272403,0.112308905,0.03516,fold change,0.1
113,0.51671433,0.10558374,0.031628888,t-test-1,0.1
114,0.52079684,0.1075534,0.03373111,t-test-2,0.1
115,0.5272403,0.112308905,0.03516,modT-1,0.1
116,0.527236,0.11231695,0.035146665,modT-2,0.1
117,0.52743644,0.11197123,0.034635555,modT-1 trend,0.1
118,0.52705634,0.11222782,0.034922224,modT-2 trend,0.1
119,0.5264636,0.1124446,0.034584444,cyberT,0.1
120,0.55382186,0.12540448,0.044104446,fold change,0.1
121,0.55256236,0.11495863,0.02999111,t-test-1,0.1
122,0.55266625,0.11976362,0.040626667,t-test-2,0.1
123,0.55382186,0.12540448,0.044104446,modT-1,0.1
124,0.5538499,0.12495803,0.044002224,modT-2,0.1
125,0.55466765,0.1249804,0.043795556,modT-1 trend,0.1
126,0.5537407,0.1251692,0.043744445,modT-2 trend,0.1
127,0.55460703,0.12451924,0.04306,cyberT,0.1
128,0.52922016,0.11306701,0.035844445,fold change,0.1
129,0.51953614,0.1059827,0.02857111,t-test-1,0.1
130,0.52115357,0.107663356,0.034186665,t-test-2,0.1
131,0.5291972,0.11306802,0.03584889,modT-1,0.1
132,0.5292186,0.11307255,0.035866667,modT-2,0.1
133,0.52853376,0.11066083,0.033291113,modT-1 trend,0.1
134,0.5292355,0.11333281,0.03618889,modT-2 trend,0.1
135,0.52828175,0.113021344,0.035844445,cyberT,0.1
136,0.5410745,0.11849125,0.042942222,fold change,0.1
137,0.5288101,0.108498655,0.03023111,t-test-1,0.1
138,0.5339199,0.11221982,0.02952,t-test-2,0.1
139,0.5410745,0.11849125,0.042942222,modT-1,0.1
140,0.5410379,0.11847628,0.042935554,modT-2,0.1
141,0.54029304,0.11861879,0.043275554,modT-1 trend,0.1
142,0.5410627,0.118487194,0.04286222,modT-2 trend,0.1
143,0.5400932,0.1174778,0.041846666,cyberT,0.1
144,0.52991474,0.11556916,0.041537777,fold change,0.1
145,0.51695806,0.108054586,0.03626889,t-test-1,0.1
146,0.5210853,0.1092473,0.034366667,t-test-2,0.1
147,0.52991474,0.11556916,0.041537777,modT-1,0.1
148,0.52982116,0.11537947,0.04123111,modT-2,0.1
149,0.5274615,0.11308143,0.03807778,modT-1 trend,0.1
150,0.529821,0.116107605,0.041168887,modT-2 trend,0.1
151,0.52831054,0.11409829,0.038915556,cyberT,0.1
152,0.53602964,0.11461353,0.03928222,fold change,0.1
153,0.53428394,0.11165636,0.030293332,t-test-1,0.1
154,0.53703445,0.116241604,0.03934889,t-test-2,0.1
155,0.536049,0.11472287,0.039273333,modT-1,0.1
156,0.5361734,0.11476393,0.039322224,modT-2,0.1
157,0.53658605,0.11432562,0.03866,modT-1 trend,0.1
158,0.5361782,0.11454174,0.03902889,modT-2 trend,0.1
159,0.53678745,0.11553009,0.039613333,cyberT,0.1
160,0.5318934,0.115631014,0.037691113,fold change,0.1
161,0.5232212,0.1083284,0.030328888,t-test-1,0.1
162,0.5312922,0.11233834,0.035064444,t-test-2,0.1
163,0.5318934,0.115631014,0.037691113,modT-1,0.1
164,0.5318934,0.115631014,0.037691113,modT-2,0.1
165,0.529677,0.112821035,0.033726666,modT-1 trend,0.1
166,0.5319089,0.115741566,0.03768889,modT-2 trend,0.1
167,0.5328988,0.11649594,0.038515557,cyberT,0.1
168,0.5327436,0.12242248,0.047895554,fold change,0.1
169,0.53260404,0.1144879,0.04097111,t-test-1,0.1
170,0.52474725,0.1100715,0.03530222,t-test-2,0.1
171,0.5327934,0.12248219,0.048026666,modT-1,0.1
172,0.5327436,0.12242248,0.047895554,modT-2,0.1
173,0.53250724,0.12619121,0.052728888,modT-1 trend,0.1
174,0.5327745,0.12269354,0.048224445,modT-2 trend,0.1
175,0.5315633,0.12167713,0.048197776,cyberT,0.1
176,0.53098536,0.11525464,0.042595554,fold change,0.1
177,0.52556604,0.10888633,0.030182222,t-test-1,0.1
178,0.53218436,0.11204989,0.03370222,t-test-2,0.1
179,0.53098536,0.11525464,0.042595554,modT-1,0.1
180,0.53098536,0.11525464,0.042595554,modT-2,0.1
181,0.53218514,0.11753092,0.045708887,modT-1 trend,0.1
182,0.53098166,0.11525018,0.04245111,modT-2 trend,0.1
183,0.53176373,0.1153961,0.04198,cyberT,0.1
184,0.5444522,0.11928243,0.04183111,fold change,0.1
185,0.52528137,0.10620697,0.025675556,t-test-1,0.1
186,0.5345897,0.11234989,0.033784445,t-test-2,0.1
187,0.54438996,0.11926694,0.041817777,modT-1,0.1
188,0.54438984,0.119299226,0.04169111,modT-2,0.1
189,0.5431176,0.118917726,0.041315556,modT-1 trend,0.1
190,0.54440707,0.119192965,0.041613333,modT-2 trend,0.1
191,0.543112,0.119787216,0.040762223,cyberT,0.1
192,0.5450943,0.1181241,0.038195554,fold change,0.1
193,0.53709924,0.1133948,0.03556,t-test-1,0.1
194,0.5325067,0.11476039,0.03806889,t-test-2,0.1
195,0.5450943,0.1181241,0.038195554,modT-1,0.1
196,0.54496527,0.11813689,0.038622223,modT-2,0.1
197,0.5451322,0.117985286,0.037935555,modT-1 trend,0.1
198,0.5449894,0.11816116,0.038426667,modT-2 trend,0.1
199,0.5446361,0.118668914,0.04030222,cyberT,0.1
200,0.54168326,0.123929225,0.049777776,fold change,0.1
201,0.5311357,0.111047715,0.027464444,t-test-1,0.1
202,0.5341078,0.11172494,0.03443778,t-test-2,0.1
203,0.54168326,0.123929225,0.049777776,modT-1,0.1
204,0.5416199,0.12387004,0.04949111,modT-2,0.1
205,0.5434921,0.12356462,0.04918222,modT-1 trend,0.1
206,0.541676,0.12388217,0.04952,modT-2 trend,0.1
207,0.539856,0.1215734,0.044955555,cyberT,0.1
208,0.5410419,0.12049851,0.043573335,fold change,0.1
209,0.52757365,0.109681055,0.02886,t-test-1,0.1
210,0.53515714,0.11347739,0.036715556,t-test-2,0.1
211,0.5410419,0.12049851,0.043573335,modT-1,0.1
212,0.5410419,0.12049851,0.043573335,modT-2,0.1
213,0.54049146,0.117808424,0.039557777,modT-1 trend,0.1
214,0.5410233,0.1205887,0.043442223,modT-2 trend,0.1
215,0.54091954,0.11978969,0.044011112,cyberT,0.1
216,0.5377011,0.12342707,0.051497776,fold change,0.1
217,0.523197,0.10932304,0.028615555,t-test-1,0.1
218,0.53451747,0.1169425,0.041877776,t-test-2,0.1
219,0.53755987,0.123251386,0.051344443,modT-1,0.1
220,0.5377171,0.1227064,0.051555555,modT-2,0.1
221,0.53935736,0.126354,0.054984443,modT-1 trend,0.1
222,0.53770155,0.123356916,0.051482223,modT-2 trend,0.1
223,0.537756,0.12310251,0.051875554,cyberT,0.1
224,0.5428603,0.12426436,0.053524446,fold change,0.1
225,0.52044874,0.10931166,0.030522222,t-test-1,0.1
226,0.53146994,0.114289425,0.034086667,t-test-2,0.1
227,0.542551,0.12412188,0.05338222,modT-1,0.1
228,0.5428427,0.12428305,0.053577777,modT-2,0.1
229,0.54232556,0.12105078,0.048491113,modT-1 trend,0.1
230,0.5430471,0.12436164,0.053773332,modT-2 trend,0.1
231,0.5410649,0.12401065,0.054615557,cyberT,0.1
232,0.52812564,0.111407295,0.03424667,fold change,0.1
233,0.5316177,0.111668766,0.032073334,t-test-1,0.1
234,0.5211768,0.108194165,0.035342224,t-test-2,0.1
235,0.52812564,0.111407295,0.03424667,modT-1,0.1
236,0.52809286,0.1114296,0.034317777,modT-2,0.1
237,0.52731544,0.109517656,0.0317,modT-1 trend,0.1
238,0.52816194,0.11133133,0.0342,modT-2 trend,0.1
239,0.52769965,0.1113165,0.035402223,cyberT,0.1
240,0.52593124,0.11523878,0.04425778,fold change,0.1
241,0.5217369,0.10639935,0.027693333,t-test-1,0.1
242,0.51839936,0.105607785,0.029646667,t-test-2,0.1
243,0.52593124,0.11523878,0.04425778,modT-1,0.1
244,0.5258249,0.11511789,0.044342224,modT-2,0.1
245,0.5283887,0.115676485,0.044166666,modT-1 trend,0.1
246,0.52588516,0.115245365,0.044688888,modT-2 trend,0.1
247,0.52565503,0.11444816,0.042697776,cyberT,0.1
248,0.54724765,0.12894826,0.05274,fold change,0.1
249,0.53031343,0.11062821,0.033793334,t-test-1,0.1
250,0.5356505,0.11650893,0.044,t-test-2,0.1
251,0.54724765,0.12894826,0.05274,modT-1,0.1
252,0.54723,0.12922625,0.052744444,modT-2,0.1
253,0.5464036,0.12356152,0.04740889,modT-1 trend,0.1
254,0.5471899,0.12928227,0.05282222,modT-2 trend,0.1
255,0.54562867,0.12902413,0.05189111,cyberT,0.1
256,0.51667136,0.10766106,0.033104446,fold change,0.1
257,0.50963116,0.10427596,0.030637778,t-test-1,0.1
258,0.5105958,0.104958706,0.02967111,t-test-2,0.1
259,0.51667136,0.10766106,0.033104446,modT-1,0.1
260,0.5166568,0.107575074,0.032975554,modT-2,0.1
261,0.51612604,0.10723872,0.032615557,modT-1 trend,0.1
262,0.5166441,0.107553266,0.03288,modT-2 trend,0.1
263,0.5163541,0.1074574,0.032397777,cyberT,0.1
264,0.5392254,0.1269104,0.061144445,fold change,0.1
265,0.5341533,0.112898186,0.031017778,t-test-1,0.1
266,0.5383134,0.11990603,0.045026667,t-test-2,0.1
267,0.53936565,0.12678877,0.06083778,modT-1,0.1
268,0.5392927,0.12689604,0.06092889,modT-2,0.1
269,0.5390775,0.12409186,0.056926668,modT-1 trend,0.1
270,0.53924435,0.12696284,0.06125333,modT-2 trend,0.1
271,0.54005545,0.12646203,0.05922222,cyberT,0.1
272,0.5456612,0.1150207,0.03570222,fold change,0.1
273,0.5367782,0.11049163,0.030071111,t-test-1,0.1
274,0.54167104,0.11240349,0.029455556,t-test-2,0.1
275,0.545587,0.11502355,0.03562667,modT-1,0.1
276,0.5456612,0.1150207,0.03570222,modT-2,0.1
277,0.54485536,0.113786645,0.034015555,modT-1 trend,0.1
278,0.54569894,0.115087025,0.03576222,modT-2 trend,0.1
279,0.5446428,0.11511063,0.035004444,cyberT,0.1
280,0.52772886,0.11791356,0.043455556,fold change,0.1
281,0.5232962,0.10677391,0.02396,t-test-1,0.1
282,0.5248601,0.10837814,0.030602222,t-test-2,0.1
283,0.5277358,0.117951006,0.043508887,modT-1,0.1
284,0.5277345,0.11795547,0.043506667,modT-2,0.1
285,0.5290643,0.12175189,0.047833335,modT-1 trend,0.1
286,0.5277064,0.1179369,0.04351333,modT-2 trend,0.1
287,0.5273408,0.117841244,0.043817777,cyberT,0.1
288,0.5384119,0.11856702,0.045051113,fold change,0.1
289,0.5377056,0.11123665,0.028004445,t-test-1,0.1
290,0.53758377,0.11177805,0.032575555,t-test-2,0.1
291,0.5384119,0.11856702,0.045051113,modT-1,0.1
292,0.5384119,0.11856702,0.045051113,modT-2,0.1
293,0.5375539,0.11625837,0.040415555,modT-1 trend,0.1
