,AUROC,AUPRC,pAUROC,labels,setting
0,0.56325614,0.11869068,0.031104444,fold change,0.1
1,0.56811386,0.122383624,0.03634889,t-test-1,0.1
2,0.56509334,0.12368934,0.042455554,t-test-2,0.1
3,0.56865823,0.12223892,0.036568888,modT-1,0.1
4,0.5672087,0.12344516,0.040933333,modT-2,0.1
5,0.5685501,0.12302532,0.039337777,modT-1 trend,0.1
6,0.5689509,0.12772179,0.04659778,modT-2 trend,0.1
7,0.5676182,0.1272729,0.046815556,cyberT,0.1
8,0.5591173,0.11839487,0.028444445,fold change,0.1
9,0.5442558,0.112865776,0.028542222,t-test-1,0.1
10,0.5508775,0.1189552,0.039813332,t-test-2,0.1
11,0.5595208,0.12064805,0.03482222,modT-1,0.1
12,0.5579733,0.12148869,0.037491113,modT-2,0.1
13,0.55901664,0.12172445,0.03768889,modT-1 trend,0.1
14,0.5600638,0.12461437,0.04433111,modT-2 trend,0.1
15,0.56114566,0.12465288,0.042142224,cyberT,0.1
16,0.54434365,0.11311137,0.033644445,fold change,0.1
17,0.52314264,0.1077539,0.02957111,t-test-1,0.1
18,0.53020746,0.11091138,0.027602222,t-test-2,0.1
19,0.5413117,0.11329952,0.033926666,modT-1,0.1
20,0.54043424,0.11376097,0.029482223,modT-2,0.1
21,0.54225606,0.11375732,0.03159111,modT-1 trend,0.1
22,0.54301655,0.115510784,0.038584445,modT-2 trend,0.1
23,0.5451703,0.11684528,0.04036667,cyberT,0.1
24,0.5637589,0.11634334,0.02761111,fold change,0.1
25,0.5526269,0.11476268,0.03454222,t-test-1,0.1
26,0.5554205,0.12103087,0.04682889,t-test-2,0.1
27,0.5638491,0.119477026,0.032904446,modT-1,0.1
28,0.5624386,0.12050727,0.039815556,modT-2,0.1
29,0.5673564,0.12364146,0.040415555,modT-1 trend,0.1
30,0.5653124,0.12460204,0.045886666,modT-2 trend,0.1
31,0.5664269,0.124777034,0.0454,cyberT,0.1
32,0.5339163,0.109977126,0.0234,fold change,0.1
33,0.5288859,0.11017864,0.035017777,t-test-1,0.1
34,0.53776777,0.11435365,0.03235778,t-test-2,0.1
35,0.5341405,0.11060362,0.025746666,modT-1,0.1
36,0.53796357,0.11469279,0.034084443,modT-2,0.1
37,0.5341063,0.11283556,0.03029111,modT-1 trend,0.1
38,0.5387858,0.11606123,0.03720667,modT-2 trend,0.1
39,0.5383147,0.115265585,0.035691112,cyberT,0.1
40,0.5570718,0.12144529,0.038273335,fold change,0.1
41,0.5503699,0.11545319,0.030093333,t-test-1,0.1
42,0.5517661,0.11943238,0.037973333,t-test-2,0.1
43,0.5586288,0.12078936,0.032933332,modT-1,0.1
44,0.5580216,0.12277732,0.03564889,modT-2,0.1
45,0.55397314,0.11736417,0.029295556,modT-1 trend,0.1
46,0.5591378,0.12388203,0.035624444,modT-2 trend,0.1
47,0.558942,0.12385128,0.036626667,cyberT,0.1
48,0.5544104,0.11776823,0.029151112,fold change,0.1
49,0.5457894,0.1157372,0.035915557,t-test-1,0.1
50,0.5479401,0.12029685,0.04143778,t-test-2,0.1
51,0.55668557,0.12149182,0.035935555,modT-1,0.1
52,0.55457515,0.12253719,0.042913333,modT-2,0.1
53,0.5581923,0.12082593,0.03652889,modT-1 trend,0.1
54,0.5578551,0.12474943,0.042915557,modT-2 trend,0.1
55,0.55876964,0.12395028,0.041502222,cyberT,0.1
56,0.56023496,0.118016124,0.028697778,fold change,0.1
57,0.55587757,0.12088414,0.035146665,t-test-1,0.1
58,0.5585193,0.12235891,0.043757778,t-test-2,0.1
59,0.5622512,0.121046245,0.029597778,modT-1,0.1
60,0.56301284,0.12277151,0.03857111,modT-2,0.1
61,0.5628958,0.120854035,0.031493332,modT-1 trend,0.1
62,0.56294936,0.124855995,0.040122222,modT-2 trend,0.1
63,0.5635636,0.12419145,0.03852889,cyberT,0.1
64,0.5413101,0.11455596,0.02868,fold change,0.1
65,0.5273388,0.11248005,0.03912889,t-test-1,0.1
66,0.5312667,0.11460275,0.04149111,t-test-2,0.1
67,0.5410307,0.11619855,0.035662223,modT-1,0.1
68,0.5398466,0.117391415,0.03725111,modT-2,0.1
69,0.54519796,0.118465535,0.039277777,modT-1 trend,0.1
70,0.54182184,0.11811887,0.038404446,modT-2 trend,0.1
71,0.54340047,0.118728146,0.038006667,cyberT,0.1
72,0.547707,0.11490948,0.028713332,fold change,0.1
73,0.5402227,0.1157373,0.03568,t-test-1,0.1
74,0.5438901,0.11942026,0.042144444,t-test-2,0.1
75,0.54962,0.12076615,0.03987333,modT-1,0.1
76,0.54972917,0.12064885,0.042682223,modT-2,0.1
77,0.55062175,0.12209484,0.044933334,modT-1 trend,0.1
78,0.5522462,0.12402996,0.050402224,modT-2 trend,0.1
79,0.55257225,0.12308373,0.047133334,cyberT,0.1
80,0.56170696,0.11822858,0.03691111,fold change,0.1
81,0.5581361,0.1202507,0.041382223,t-test-1,0.1
82,0.5610245,0.124757096,0.048184443,t-test-2,0.1
83,0.565404,0.12384387,0.0448,modT-1,0.1
84,0.5654265,0.12758492,0.04664889,modT-2,0.1
85,0.56655985,0.12901974,0.049384445,modT-1 trend,0.1
86,0.5696636,0.1311969,0.04997778,modT-2 trend,0.1
87,0.57031786,0.13029523,0.04762,cyberT,0.1
88,0.56060714,0.120105006,0.033297777,fold change,0.1
89,0.54736525,0.11440052,0.028906666,t-test-1,0.1
90,0.55832624,0.1250921,0.048266668,t-test-2,0.1
91,0.5611829,0.1214512,0.03759111,modT-1,0.1
92,0.56143135,0.124485694,0.042304445,modT-2,0.1
93,0.5627563,0.12535071,0.0449,modT-1 trend,0.1
94,0.5639455,0.12862287,0.045124445,modT-2 trend,0.1
95,0.56443655,0.12795648,0.045226667,cyberT,0.1
96,0.5707573,0.12320908,0.035146665,fold change,0.1
97,0.5608125,0.11974958,0.038424443,t-test-1,0.1
98,0.5707963,0.12699166,0.044844445,t-test-2,0.1
99,0.57141703,0.12643899,0.040595554,modT-1,0.1
100,0.5733977,0.12738895,0.042266667,modT-2,0.1
101,0.5694912,0.12345962,0.03860889,modT-1 trend,0.1
102,0.57711035,0.13006923,0.04876,modT-2 trend,0.1
103,0.57577574,0.12949035,0.04977333,cyberT,0.1
104,0.553209,0.11517561,0.030622222,fold change,0.1
105,0.542142,0.11482304,0.033917777,t-test-1,0.1
106,0.5497038,0.121577,0.049451113,t-test-2,0.1
107,0.5543058,0.11831674,0.033784445,modT-1,0.1
108,0.55455106,0.12154615,0.039864443,modT-2,0.1
109,0.5557725,0.12156549,0.04103111,modT-1 trend,0.1
110,0.55482143,0.12383861,0.04499111,modT-2 trend,0.1
111,0.5553355,0.12328094,0.043224443,cyberT,0.1
112,0.5416866,0.110893704,0.02661111,fold change,0.1
113,0.538316,0.11698266,0.041042224,t-test-1,0.1
114,0.5442079,0.12430747,0.04611111,t-test-2,0.1
115,0.5433891,0.11528551,0.03658667,modT-1,0.1
116,0.54437,0.118905865,0.040613335,modT-2,0.1
117,0.5428588,0.116789915,0.036737777,modT-1 trend,0.1
118,0.5454344,0.12152834,0.045595556,modT-2 trend,0.1
119,0.5446377,0.11986359,0.04466889,cyberT,0.1
120,0.5574626,0.122377485,0.038264446,fold change,0.1
121,0.5434516,0.114021465,0.030955555,t-test-1,0.1
122,0.55181277,0.12058585,0.04149778,t-test-2,0.1
123,0.55752075,0.12590136,0.049193334,modT-1,0.1
124,0.5576844,0.12737547,0.0543,modT-2,0.1
125,0.55863345,0.1373479,0.060873333,modT-1 trend,0.1
126,0.5585749,0.12982126,0.054495554,modT-2 trend,0.1
127,0.5587874,0.13033773,0.053473335,cyberT,0.1
128,0.557951,0.11984758,0.037015557,fold change,0.1
129,0.53711224,0.11215604,0.032995556,t-test-1,0.1
130,0.5497349,0.11884456,0.03683778,t-test-2,0.1
131,0.5563793,0.1201398,0.036233332,modT-1,0.1
132,0.55727094,0.12142691,0.039217778,modT-2,0.1
133,0.5576111,0.121062905,0.039233334,modT-1 trend,0.1
134,0.55890286,0.12180171,0.041413333,modT-2 trend,0.1
135,0.56098825,0.12185986,0.04016889,cyberT,0.1
136,0.56326646,0.11709436,0.026251111,fold change,0.1
137,0.5491937,0.119196475,0.03739111,t-test-1,0.1
138,0.55360556,0.12240729,0.038604446,t-test-2,0.1
139,0.56015694,0.11951053,0.033884443,modT-1,0.1
140,0.5598378,0.11986451,0.031437777,modT-2,0.1
141,0.56285536,0.12591183,0.04211778,modT-1 trend,0.1
142,0.56007755,0.12059277,0.03483111,modT-2 trend,0.1
143,0.55961424,0.11995362,0.03499111,cyberT,0.1
144,0.5408633,0.112565026,0.02851111,fold change,0.1
145,0.5353844,0.11185436,0.0358,t-test-1,0.1
146,0.54879564,0.11715795,0.033068888,t-test-2,0.1
147,0.5437488,0.11731165,0.04131111,modT-1,0.1
148,0.54817003,0.11969352,0.04224889,modT-2,0.1
149,0.5470533,0.12205715,0.049406666,modT-1 trend,0.1
150,0.5481059,0.12088448,0.043417778,modT-2 trend,0.1
151,0.5475908,0.11982661,0.041284446,cyberT,0.1
152,0.55671066,0.11701155,0.032922223,fold change,0.1
153,0.5508001,0.11713902,0.02871111,t-test-1,0.1
154,0.5614253,0.124362424,0.039102223,t-test-2,0.1
155,0.5610727,0.12293405,0.039655555,modT-1,0.1
156,0.56308675,0.12553933,0.042353332,modT-2,0.1
157,0.56184226,0.122548975,0.039135557,modT-1 trend,0.1
158,0.56595844,0.13115875,0.049573332,modT-2 trend,0.1
159,0.56577814,0.13139611,0.050513335,cyberT,0.1
160,0.54808354,0.112587504,0.029211111,fold change,0.1
161,0.544814,0.11146222,0.02593111,t-test-1,0.1
162,0.55152386,0.11816877,0.032562222,t-test-2,0.1
163,0.5501802,0.115026385,0.03418222,modT-1,0.1
164,0.5511554,0.11754598,0.03920889,modT-2,0.1
165,0.54927814,0.114220284,0.03316,modT-1 trend,0.1
166,0.5541214,0.12023568,0.040982224,modT-2 trend,0.1
167,0.55461305,0.12038949,0.040911112,cyberT,0.1
168,0.562418,0.12172639,0.036397777,fold change,0.1
169,0.55238044,0.11791724,0.03764,t-test-1,0.1
170,0.55673176,0.119298846,0.03643333,t-test-2,0.1
171,0.56234777,0.123144306,0.038057778,modT-1,0.1
172,0.5629262,0.1228986,0.037646666,modT-2,0.1
173,0.5604791,0.1221792,0.037746668,modT-1 trend,0.1
174,0.56526107,0.124728866,0.041042224,modT-2 trend,0.1
175,0.56598705,0.124719806,0.040964443,cyberT,0.1
176,0.55763364,0.11793384,0.033173334,fold change,0.1
177,0.550556,0.12041401,0.040595554,t-test-1,0.1
178,0.5590079,0.12539081,0.04284,t-test-2,0.1
179,0.5594655,0.12352608,0.040917777,modT-1,0.1
180,0.5622822,0.12926872,0.045446668,modT-2,0.1
181,0.5612138,0.1248413,0.04258222,modT-1 trend,0.1
182,0.5659274,0.13061796,0.049173333,modT-2 trend,0.1
183,0.5670884,0.12942842,0.045862224,cyberT,0.1
184,0.5590331,0.117993124,0.030695556,fold change,0.1
185,0.55109686,0.11653302,0.031971112,t-test-1,0.1
186,0.5618489,0.12424957,0.04329778,t-test-2,0.1
187,0.5616033,0.12177058,0.03903111,modT-1,0.1
188,0.5636045,0.12347966,0.04270889,modT-2,0.1
189,0.5611726,0.12351057,0.039353333,modT-1 trend,0.1
190,0.5634793,0.12645538,0.04927778,modT-2 trend,0.1
191,0.5626324,0.12548018,0.045591112,cyberT,0.1
192,0.5640887,0.12161039,0.03728,fold change,0.1
193,0.55740577,0.1189244,0.03918,t-test-1,0.1
194,0.55461097,0.11771934,0.03652,t-test-2,0.1
195,0.5638344,0.121861026,0.039573334,modT-1,0.1
196,0.5618277,0.120636635,0.038286667,modT-2,0.1
197,0.56360036,0.12260783,0.040964443,modT-1 trend,0.1
198,0.5658805,0.1252909,0.045893334,modT-2 trend,0.1
199,0.5666733,0.12595278,0.045257777,cyberT,0.1
200,0.5263845,0.10779667,0.029695556,fold change,0.1
201,0.5287365,0.112123266,0.037248887,t-test-1,0.1
202,0.5339052,0.11877587,0.044557776,t-test-2,0.1
203,0.53203654,0.11277318,0.03486667,modT-1,0.1
204,0.53341603,0.11588109,0.03948222,modT-2,0.1
205,0.53179467,0.11734049,0.0386,modT-1 trend,0.1
206,0.5342756,0.1171077,0.03978,modT-2 trend,0.1
207,0.53303903,0.11557175,0.03691111,cyberT,0.1
208,0.5673833,0.12288185,0.03912,fold change,0.1
209,0.5532034,0.11914089,0.035066668,t-test-1,0.1
210,0.5626594,0.12282304,0.039042223,t-test-2,0.1
211,0.56890297,0.123863615,0.039753333,modT-1,0.1
212,0.5703342,0.12423985,0.037157778,modT-2,0.1
213,0.57089794,0.12483444,0.03505111,modT-1 trend,0.1
214,0.5716926,0.125524,0.041544445,modT-2 trend,0.1
215,0.5707271,0.12550919,0.042404443,cyberT,0.1
216,0.56148714,0.12102863,0.0337,fold change,0.1
217,0.5503481,0.115222044,0.031226667,t-test-1,0.1
218,0.55938256,0.12536006,0.04747111,t-test-2,0.1
219,0.5626154,0.12270514,0.03649778,modT-1,0.1
220,0.5639029,0.1279966,0.0439,modT-2,0.1
221,0.5648793,0.12268489,0.034708887,modT-1 trend,0.1
222,0.5658411,0.1293823,0.046826668,modT-2 trend,0.1
223,0.5658545,0.12929162,0.04318667,cyberT,0.1
224,0.55289745,0.11664659,0.02975111,fold change,0.1
225,0.5461533,0.117206044,0.03502,t-test-1,0.1
226,0.5508991,0.12177861,0.045335557,t-test-2,0.1
227,0.55332583,0.119898215,0.038555555,modT-1,0.1
228,0.55412936,0.12135361,0.04006,modT-2,0.1
229,0.55497825,0.119966894,0.037746668,modT-1 trend,0.1
230,0.55545104,0.12440919,0.04509778,modT-2 trend,0.1
231,0.5550802,0.12345282,0.041984443,cyberT,0.1
232,0.5509763,0.1170629,0.03395111,fold change,0.1
233,0.550648,0.11522463,0.034933332,t-test-1,0.1
234,0.5505274,0.12015133,0.043673333,t-test-2,0.1
235,0.5543027,0.118751965,0.03402,modT-1,0.1
236,0.5540972,0.120891534,0.04058889,modT-2,0.1
