,AUROC,AUPRC,pAUROC,labels,setting
0,0.5530553,0.11897834,0.041051112,fold change,0.1
1,0.5455041,0.11454283,0.032593332,t-test-1,0.1
2,0.550681,0.12176711,0.04157111,t-test-2,0.1
3,0.5532281,0.12102929,0.045635555,modT-1,0.1
4,0.553442,0.121899776,0.044524446,modT-2,0.1
5,0.5549744,0.12712348,0.053364445,modT-1 trend,0.1
6,0.5534305,0.12186758,0.04442222,modT-2 trend,0.1
7,0.5533422,0.12085566,0.04375111,RegT,0.1
8,0.56127036,0.12138781,0.036795557,fold change,0.1
9,0.54815227,0.11581784,0.035846666,t-test-1,0.1
10,0.55634445,0.12028843,0.039433334,t-test-2,0.1
11,0.56118405,0.121974,0.037404444,modT-1,0.1
12,0.5625148,0.12389611,0.041057777,modT-2,0.1
13,0.5625923,0.12251679,0.03799111,modT-1 trend,0.1
14,0.5625442,0.12392117,0.04103111,modT-2 trend,0.1
15,0.56248534,0.12325146,0.038766667,RegT,0.1
16,0.54762626,0.11597817,0.033144444,fold change,0.1
17,0.53728014,0.11173766,0.030804444,t-test-1,0.1
18,0.5417519,0.11473114,0.033935554,t-test-2,0.1
19,0.5468067,0.11660187,0.035135556,modT-1,0.1
20,0.5469351,0.11682345,0.035773333,modT-2,0.1
21,0.5470414,0.11471422,0.030595556,modT-1 trend,0.1
22,0.5469057,0.11684931,0.035893332,modT-2 trend,0.1
23,0.54718524,0.11668902,0.035217777,RegT,0.1
24,0.5564086,0.119335756,0.033913333,fold change,0.1
25,0.55309135,0.11744335,0.03804222,t-test-1,0.1
26,0.55631506,0.12035604,0.03964,t-test-2,0.1
27,0.55789655,0.1210854,0.03488222,modT-1,0.1
28,0.5588195,0.121969536,0.038882222,modT-2,0.1
29,0.5589264,0.124224104,0.0417,modT-1 trend,0.1
30,0.55887944,0.1220062,0.03892222,modT-2 trend,0.1
31,0.55732423,0.120263,0.033553332,RegT,0.1
32,0.5446642,0.11598537,0.038053334,fold change,0.1
33,0.54095787,0.10994042,0.025937777,t-test-1,0.1
34,0.54396087,0.11470438,0.030993333,t-test-2,0.1
35,0.545835,0.11706522,0.04001111,modT-1,0.1
36,0.546511,0.119005665,0.04120222,modT-2,0.1
37,0.54764634,0.11591469,0.03484,modT-1 trend,0.1
38,0.54633945,0.11887509,0.041364446,modT-2 trend,0.1
39,0.54469144,0.11771206,0.04179111,RegT,0.1
40,0.5521337,0.11573567,0.031377777,fold change,0.1
41,0.5411904,0.116903566,0.036931112,t-test-1,0.1
42,0.5521497,0.12388874,0.04707111,t-test-2,0.1
43,0.5525943,0.11807625,0.037693333,modT-1,0.1
44,0.554191,0.120284535,0.040164445,modT-2,0.1
45,0.553321,0.119192936,0.039766666,modT-1 trend,0.1
46,0.5542168,0.120449156,0.040486667,modT-2 trend,0.1
47,0.55291575,0.11783198,0.035544444,RegT,0.1
48,0.55901855,0.12465147,0.045293335,fold change,0.1
49,0.5444187,0.115377285,0.034177776,t-test-1,0.1
50,0.5538084,0.12424717,0.050833333,t-test-2,0.1
51,0.5597043,0.12529346,0.04768889,modT-1,0.1
52,0.56031656,0.1262154,0.047055557,modT-2,0.1
53,0.5620573,0.13364972,0.055795554,modT-1 trend,0.1
54,0.560302,0.12618057,0.047066666,modT-2 trend,0.1
55,0.56041944,0.1255352,0.0464,RegT,0.1
56,0.54879206,0.116003945,0.035184443,fold change,0.1
57,0.5461373,0.113390855,0.02932,t-test-1,0.1
58,0.5463085,0.11558631,0.034273334,t-test-2,0.1
59,0.5489084,0.11634489,0.03438889,modT-1,0.1
60,0.54853016,0.117168926,0.0365,modT-2,0.1
61,0.5487521,0.11401748,0.027497778,modT-1 trend,0.1
62,0.5484742,0.117129534,0.03644667,modT-2 trend,0.1
63,0.54839355,0.116494894,0.036457777,RegT,0.1
64,0.5495617,0.11872844,0.040704444,fold change,0.1
65,0.532104,0.1110512,0.032242224,t-test-1,0.1
66,0.53973156,0.11790141,0.037926666,t-test-2,0.1
67,0.5485608,0.1199915,0.042664446,modT-1,0.1
68,0.54755116,0.118873246,0.03931111,modT-2,0.1
69,0.5472894,0.120939046,0.04252222,modT-1 trend,0.1
70,0.54738384,0.11883985,0.0392,modT-2 trend,0.1
71,0.5475932,0.118548535,0.04112889,RegT,0.1
72,0.5541948,0.123948224,0.046917778,fold change,0.1
73,0.5455311,0.11706619,0.037606668,t-test-1,0.1
74,0.5527225,0.12567163,0.047148887,t-test-2,0.1
75,0.554801,0.12648661,0.052395556,modT-1,0.1
76,0.5558072,0.12751393,0.05308667,modT-2,0.1
77,0.55546916,0.13058499,0.057802223,modT-1 trend,0.1
78,0.55584425,0.12751247,0.053144444,modT-2 trend,0.1
79,0.5551237,0.12666447,0.05250889,RegT,0.1
80,0.5371798,0.11430187,0.036782224,fold change,0.1
81,0.51837933,0.10684651,0.032235555,t-test-1,0.1
82,0.5281075,0.11308025,0.040362224,t-test-2,0.1
83,0.5350763,0.113800324,0.038713332,modT-1,0.1
84,0.5346472,0.114820406,0.040406667,modT-2,0.1
85,0.53349346,0.111285284,0.032444444,modT-1 trend,0.1
86,0.5347162,0.114868045,0.040424444,modT-2 trend,0.1
87,0.5352637,0.11459325,0.039944444,RegT,0.1
88,0.5499557,0.11550969,0.032773335,fold change,0.1
89,0.54678714,0.11713967,0.03863111,t-test-1,0.1
90,0.5500673,0.11898077,0.039726667,t-test-2,0.1
91,0.5514416,0.11879682,0.037315555,modT-1,0.1
92,0.5514867,0.11909715,0.037293334,modT-2,0.1
93,0.551751,0.123991355,0.042373333,modT-1 trend,0.1
94,0.55147773,0.11909255,0.03732,modT-2 trend,0.1
95,0.5517797,0.11815308,0.035935555,RegT,0.1
96,0.55374986,0.124655195,0.047153335,fold change,0.1
97,0.5513608,0.119149365,0.037944444,t-test-1,0.1
98,0.54686356,0.11689164,0.039575554,t-test-2,0.1
99,0.5545451,0.123948485,0.048304446,modT-1,0.1
100,0.5535288,0.12409738,0.05091111,modT-2,0.1
101,0.55669004,0.1284265,0.054455556,modT-1 trend,0.1
102,0.55336404,0.12396682,0.050897777,modT-2 trend,0.1
103,0.55325115,0.12311805,0.048364446,RegT,0.1
104,0.5487697,0.11470573,0.031004444,fold change,0.1
105,0.5429726,0.11407936,0.03194,t-test-1,0.1
106,0.5388647,0.11285918,0.032006666,t-test-2,0.1
