,AUROC,AUPRC,pAUROC,labels,setting
0,0.55739015,0.11905035,0.03346,fold change,0.1
1,0.5443277,0.116155125,0.03700889,t-test-1,0.1
2,0.5474354,0.12067302,0.043515556,t-test-2,0.1
3,0.5574665,0.1232187,0.040511113,modT-1,0.1
4,0.5550842,0.12293842,0.041615557,modT-2,0.1
5,0.5589352,0.12825134,0.048333332,modT-1 trend,0.1
6,0.5550727,0.12337609,0.04376,modT-2 trend,0.1
7,0.5552066,0.12180978,0.041595556,RegT,0.1
8,0.5266303,0.10977574,0.02898,fold change,0.1
9,0.525702,0.11100334,0.031917777,t-test-1,0.1
10,0.53316975,0.123660974,0.045486666,t-test-2,0.1
11,0.5281654,0.11367252,0.03956222,modT-1,0.1
12,0.5310854,0.11798621,0.04514889,modT-2,0.1
13,0.52975744,0.11771386,0.046906665,modT-1 trend,0.1
14,0.5309764,0.1177192,0.04466889,modT-2 trend,0.1
15,0.5292114,0.11617367,0.04379111,RegT,0.1
16,0.55584013,0.116452955,0.03179111,fold change,0.1
17,0.5519339,0.118890814,0.037528887,t-test-1,0.1
18,0.5589067,0.12408512,0.046484444,t-test-2,0.1
19,0.55993694,0.121726006,0.042082224,modT-1,0.1
20,0.5620737,0.12521937,0.046417776,modT-2,0.1
21,0.5616298,0.126732,0.048204444,modT-1 trend,0.1
22,0.564259,0.12690863,0.0479,modT-2 trend,0.1
23,0.56480825,0.12628923,0.047362223,RegT,0.1
24,0.5546632,0.11465751,0.028657777,fold change,0.1
25,0.5458815,0.116444536,0.037564445,t-test-1,0.1
26,0.55559623,0.1232341,0.042457778,t-test-2,0.1
27,0.5558053,0.11851362,0.036088888,modT-1,0.1
28,0.55780923,0.12330851,0.04489333,modT-2,0.1
29,0.5573074,0.120061226,0.035857778,modT-1 trend,0.1
30,0.5594444,0.12363628,0.044586666,modT-2 trend,0.1
31,0.5595583,0.121938795,0.04080889,RegT,0.1
32,0.56804234,0.12578,0.039895557,fold change,0.1
33,0.56048477,0.12384263,0.04393111,t-test-1,0.1
34,0.5652168,0.12880455,0.050197776,t-test-2,0.1
35,0.570359,0.12978096,0.04796,modT-1,0.1
36,0.57069385,0.13211678,0.053122222,modT-2,0.1
37,0.5714908,0.13026991,0.049253333,modT-1 trend,0.1
38,0.5695177,0.13520142,0.055673335,modT-2 trend,0.1
39,0.5686226,0.13576265,0.056266665,RegT,0.1
40,0.5565925,0.12008429,0.038362224,fold change,0.1
41,0.5582167,0.119902596,0.035686668,t-test-1,0.1
42,0.5558953,0.12588598,0.044804443,t-test-2,0.1
43,0.5599994,0.1247673,0.043404445,modT-1,0.1
44,0.5591369,0.12748004,0.047053333,modT-2,0.1
45,0.56253326,0.12655838,0.044024445,modT-1 trend,0.1
46,0.56107265,0.13149565,0.05352,modT-2 trend,0.1
47,0.56172097,0.13116641,0.05305778,RegT,0.1
48,0.5563843,0.116639555,0.028402222,fold change,0.1
49,0.5545752,0.11915958,0.034704443,t-test-1,0.1
50,0.56156296,0.1262816,0.03884,t-test-2,0.1
51,0.5606495,0.1228679,0.035524443,modT-1,0.1
52,0.562701,0.12638734,0.040564444,modT-2,0.1
53,0.56046367,0.121832326,0.036535557,modT-1 trend,0.1
54,0.56184256,0.12573113,0.04357111,modT-2 trend,0.1
55,0.5592521,0.12411274,0.04062,RegT,0.1
56,0.560568,0.122151695,0.03756222,fold change,0.1
57,0.54596823,0.114560485,0.033155557,t-test-1,0.1
58,0.5546659,0.121564075,0.042335555,t-test-2,0.1
59,0.56184953,0.1242443,0.03855778,modT-1,0.1
60,0.561794,0.12604557,0.04614667,modT-2,0.1
61,0.5592545,0.12184943,0.03574,modT-1 trend,0.1
62,0.56360644,0.12861279,0.048506666,modT-2 trend,0.1
63,0.5639466,0.12743688,0.044304445,RegT,0.1
64,0.5491375,0.11663839,0.030522222,fold change,0.1
65,0.54185,0.11699287,0.03925333,t-test-1,0.1
66,0.5519446,0.12760466,0.05581778,t-test-2,0.1
67,0.55157685,0.12033002,0.03703778,modT-1,0.1
68,0.554484,0.12534899,0.04555778,modT-2,0.1
69,0.5519573,0.1200842,0.038346667,modT-1 trend,0.1
70,0.55557823,0.12607841,0.04805333,modT-2 trend,0.1
71,0.5541644,0.12376786,0.043315556,RegT,0.1
72,0.54960036,0.114828624,0.033086665,fold change,0.1
73,0.54535055,0.11703267,0.037964445,t-test-1,0.1
74,0.5515814,0.120332055,0.03883111,t-test-2,0.1
75,0.5511631,0.11829149,0.04010889,modT-1,0.1
76,0.5524301,0.119424626,0.038344443,modT-2,0.1
77,0.55344546,0.12499684,0.048855554,modT-1 trend,0.1
78,0.5536214,0.12017008,0.039131112,modT-2 trend,0.1
79,0.5524126,0.119225144,0.039946668,RegT,0.1
80,0.56164354,0.1296235,0.050331112,fold change,0.1
81,0.54344356,0.119614154,0.043146666,t-test-1,0.1
82,0.55784947,0.1302887,0.052442223,t-test-2,0.1
83,0.5610951,0.13600266,0.06100222,modT-1,0.1
84,0.56425947,0.1383738,0.06435778,modT-2,0.1
85,0.56113565,0.13854167,0.062526666,modT-1 trend,0.1
86,0.5673885,0.14292088,0.06738889,modT-2 trend,0.1
87,0.56769514,0.14233948,0.065966666,RegT,0.1
88,0.5518443,0.11636788,0.035386667,fold change,0.1
89,0.5451799,0.11603316,0.032275554,t-test-1,0.1
90,0.55832845,0.119695775,0.03497111,t-test-2,0.1
91,0.5547891,0.1192827,0.039373334,modT-1,0.1
92,0.5583842,0.121575415,0.045586668,modT-2,0.1
93,0.5550193,0.118460685,0.037948888,modT-1 trend,0.1
94,0.55681705,0.12292617,0.04918,modT-2 trend,0.1
95,0.55569476,0.12196969,0.048086666,RegT,0.1
96,0.54452133,0.11426011,0.029924445,fold change,0.1
97,0.5323598,0.10973427,0.026017778,t-test-1,0.1
98,0.5353554,0.11207423,0.032144446,t-test-2,0.1
99,0.54528046,0.11629866,0.033284444,modT-1,0.1
100,0.5438896,0.11665531,0.036628887,modT-2,0.1
101,0.5500703,0.11818723,0.031717777,modT-1 trend,0.1
102,0.54629767,0.11881916,0.038333334,modT-2 trend,0.1
103,0.5475882,0.11935541,0.0389,RegT,0.1
104,0.55616164,0.11685702,0.02726,fold change,0.1
105,0.5455433,0.11832243,0.04360222,t-test-1,0.1
106,0.55130094,0.124517806,0.04712889,t-test-2,0.1
107,0.55702394,0.119158365,0.03559778,modT-1,0.1
108,0.5575918,0.12115574,0.036595557,modT-2,0.1
109,0.55761695,0.12085564,0.038524445,modT-1 trend,0.1
110,0.5589365,0.12195611,0.040153332,modT-2 trend,0.1
111,0.55858463,0.121005856,0.039026666,RegT,0.1
112,0.5439766,0.11475835,0.026,fold change,0.1
113,0.53077745,0.10982144,0.03274,t-test-1,0.1
114,0.5319755,0.111848176,0.033464443,t-test-2,0.1
115,0.54256904,0.11343008,0.031137777,modT-1,0.1
116,0.5420172,0.113937594,0.032586668,modT-2,0.1
117,0.54272866,0.11516913,0.03554889,modT-1 trend,0.1
118,0.5438765,0.115611,0.03442,modT-2 trend,0.1
119,0.5445854,0.1155795,0.032184444,RegT,0.1
120,0.54521805,0.11360897,0.030395556,fold change,0.1
121,0.5385063,0.1152134,0.03808,t-test-1,0.1
122,0.5425795,0.11850539,0.03994,t-test-2,0.1
123,0.5476937,0.11744817,0.035595555,modT-1,0.1
124,0.548095,0.11836618,0.035406668,modT-2,0.1
125,0.54952776,0.12233023,0.04432,modT-1 trend,0.1
126,0.55103916,0.12004485,0.03702889,modT-2 trend,0.1
127,0.5516819,0.119788975,0.03779778,RegT,0.1
128,0.547562,0.11716309,0.030351112,fold change,0.1
129,0.53933954,0.11539933,0.039906666,t-test-1,0.1
130,0.54255843,0.11917803,0.040002223,t-test-2,0.1
131,0.54711515,0.1183161,0.035215557,modT-1,0.1
132,0.54771805,0.120710164,0.041193333,modT-2,0.1
133,0.547498,0.11904278,0.03716,modT-1 trend,0.1
134,0.54954207,0.12259351,0.045162223,modT-2 trend,0.1
135,0.5490768,0.12086529,0.043155555,RegT,0.1
136,0.5552019,0.11554238,0.027133333,fold change,0.1
137,0.54637206,0.115758784,0.030411111,t-test-1,0.1
138,0.55294085,0.12191305,0.044886667,t-test-2,0.1
139,0.5563936,0.1188448,0.034084443,modT-1,0.1
140,0.5573433,0.12100806,0.04075111,modT-2,0.1
141,0.55896413,0.12324054,0.040044446,modT-1 trend,0.1
142,0.5569946,0.12318217,0.046973333,modT-2 trend,0.1
143,0.55704933,0.12317872,0.045835555,RegT,0.1
144,0.5501823,0.120355465,0.035844445,fold change,0.1
145,0.53899276,0.120040104,0.04363778,t-test-1,0.1
146,0.5442467,0.11963484,0.04267778,t-test-2,0.1
147,0.55023456,0.122883216,0.037895557,modT-1,0.1
148,0.5503827,0.12244375,0.03731778,modT-2,0.1
149,0.5530956,0.13106434,0.050184444,modT-1 trend,0.1
150,0.5527119,0.12518354,0.04389111,modT-2 trend,0.1
151,0.55286705,0.12534943,0.045508888,RegT,0.1
152,0.5555159,0.11614055,0.026573334,fold change,0.1
153,0.55397344,0.12106805,0.042622223,t-test-1,0.1
154,0.56220055,0.12864788,0.049302224,t-test-2,0.1
155,0.55770063,0.12150201,0.036764443,modT-1,0.1
156,0.5599151,0.123863325,0.044097777,modT-2,0.1
157,0.5574747,0.12432286,0.04365333,modT-1 trend,0.1
158,0.5642017,0.12847766,0.047755554,modT-2 trend,0.1
159,0.56394297,0.12695433,0.04446,RegT,0.1
160,0.55074334,0.11807548,0.033344444,fold change,0.1
161,0.54554605,0.11678312,0.037186667,t-test-1,0.1
162,0.55158085,0.12075554,0.037713334,t-test-2,0.1
163,0.5536464,0.12121581,0.03891111,modT-1,0.1
164,0.5547219,0.122723304,0.04114222,modT-2,0.1
165,0.55329853,0.12219585,0.039135557,modT-1 trend,0.1
166,0.5545812,0.12023808,0.03504,modT-2 trend,0.1
167,0.55322814,0.118759654,0.034455556,RegT,0.1
168,0.54755515,0.11415055,0.029691111,fold change,0.1
169,0.543708,0.11908565,0.04279111,t-test-1,0.1
170,0.5515825,0.12737785,0.05234,t-test-2,0.1
171,0.55054617,0.11862963,0.03599111,modT-1,0.1
172,0.55271584,0.12245573,0.04292,modT-2,0.1
173,0.5530953,0.12516277,0.043295555,modT-1 trend,0.1
174,0.55517125,0.122736305,0.04030889,modT-2 trend,0.1
175,0.5551798,0.120846,0.036575556,RegT,0.1
176,0.53827703,0.11019021,0.025064444,fold change,0.1
177,0.54958993,0.11656719,0.03347333,t-test-1,0.1
178,0.5448488,0.11946331,0.03994,t-test-2,0.1
179,0.5461623,0.11578654,0.034597777,modT-1,0.1
180,0.5456973,0.117301255,0.03681111,modT-2,0.1
181,0.54942554,0.12278079,0.04265111,modT-1 trend,0.1
182,0.5477531,0.12054544,0.03926,modT-2 trend,0.1
183,0.54771864,0.11977128,0.039684445,RegT,0.1
184,0.56006336,0.11812529,0.029162223,fold change,0.1
185,0.554903,0.11791175,0.03067111,t-test-1,0.1
186,0.56474006,0.12360351,0.043093335,t-test-2,0.1
187,0.563858,0.12419377,0.03536889,modT-1,0.1
188,0.5664571,0.12447287,0.036806665,modT-2,0.1
189,0.5678434,0.12462349,0.037122224,modT-1 trend,0.1
