,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,1.0,0.0,0.0,0.0,fold change,0.1
1,438.0,58.0,0.0,0.0,t-test-1,0.1
2,439.0,67.0,0.0,0.0,t-test-2,0.1
3,444.0,86.0,0.0,0.0,modT-1,0.1
4,436.0,85.0,0.0,0.0,modT-2,0.1
5,454.0,84.0,0.0,0.0,modT-1 trend,0.1
6,442.0,82.0,0.0,0.0,modT-2 trend,0.1
7,468.0,78.0,0.0,0.0,cyberT,0.1
8,3.0,0.0,0.0,0.0,fold change,0.1
9,467.0,62.0,0.0,0.0,t-test-1,0.1
10,450.0,59.0,1.0,0.0,t-test-2,0.1
11,488.0,65.0,0.0,0.0,modT-1,0.1
12,483.0,65.0,0.0,0.0,modT-2,0.1
13,490.0,64.0,0.0,0.0,modT-1 trend,0.1
14,479.0,63.0,0.0,0.0,modT-2 trend,0.1
15,518.0,69.0,0.0,0.0,cyberT,0.1
16,0.0,2.0,0.0,0.0,fold change,0.1
17,477.0,63.0,0.0,0.0,t-test-1,0.1
18,457.0,72.0,0.0,0.0,t-test-2,0.1
19,458.0,80.0,0.0,0.0,modT-1,0.1
20,447.0,80.0,0.0,0.0,modT-2,0.1
21,450.0,84.0,0.0,0.0,modT-1 trend,0.1
22,451.0,81.0,0.0,0.0,modT-2 trend,0.1
23,483.0,85.0,0.0,0.0,cyberT,0.1
24,1.0,0.0,0.0,0.0,fold change,0.1
25,437.0,51.0,0.0,0.0,t-test-1,0.1
26,482.0,69.0,0.0,0.0,t-test-2,0.1
27,459.0,82.0,0.0,0.0,modT-1,0.1
28,459.0,82.0,0.0,0.0,modT-2,0.1
29,470.0,82.0,0.0,0.0,modT-1 trend,0.1
30,459.0,81.0,0.0,0.0,modT-2 trend,0.1
31,498.0,88.0,0.0,0.0,cyberT,0.1
32,1.0,0.0,0.0,0.0,fold change,0.1
33,513.0,72.0,0.0,0.0,t-test-1,0.1
34,447.0,76.0,0.0,0.0,t-test-2,0.1
35,450.0,75.0,0.0,0.0,modT-1,0.1
36,490.0,81.0,0.0,0.0,modT-2,0.1
37,466.0,79.0,0.0,0.0,modT-1 trend,0.1
38,487.0,80.0,0.0,0.0,modT-2 trend,0.1
39,510.0,80.0,0.0,0.0,cyberT,0.1
40,5.0,3.0,0.0,0.0,fold change,0.1
41,452.0,55.0,0.0,0.0,t-test-1,0.1
42,432.0,69.0,0.0,0.0,t-test-2,0.1
43,449.0,81.0,0.0,0.0,modT-1,0.1
44,450.0,81.0,0.0,0.0,modT-2,0.1
45,439.0,82.0,0.0,0.0,modT-1 trend,0.1
46,449.0,79.0,0.0,0.0,modT-2 trend,0.1
47,470.0,79.0,0.0,0.0,cyberT,0.1
48,2.0,0.0,0.0,0.0,fold change,0.1
49,441.0,64.0,0.0,0.0,t-test-1,0.1
50,475.0,62.0,0.0,0.0,t-test-2,0.1
51,499.0,76.0,0.0,0.0,modT-1,0.1
52,517.0,77.0,0.0,0.0,modT-2,0.1
53,467.0,70.0,0.0,0.0,modT-1 trend,0.1
54,514.0,78.0,0.0,0.0,modT-2 trend,0.1
55,533.0,88.0,0.0,0.0,cyberT,0.1
56,1.0,0.0,0.0,0.0,fold change,0.1
57,470.0,72.0,0.0,0.0,t-test-1,0.1
58,453.0,81.0,0.0,0.0,t-test-2,0.1
59,434.0,99.0,0.0,0.0,modT-1,0.1
60,434.0,99.0,0.0,0.0,modT-2,0.1
61,436.0,100.0,0.0,0.0,modT-1 trend,0.1
62,433.0,99.0,0.0,0.0,modT-2 trend,0.1
63,454.0,106.0,0.0,0.0,cyberT,0.1
64,1.0,0.0,0.0,0.0,fold change,0.1
65,429.0,58.0,0.0,0.0,t-test-1,0.1
66,464.0,51.0,0.0,1.0,t-test-2,0.1
67,485.0,78.0,0.0,0.0,modT-1,0.1
68,492.0,78.0,0.0,0.0,modT-2,0.1
69,446.0,74.0,0.0,0.0,modT-1 trend,0.1
70,491.0,78.0,0.0,0.0,modT-2 trend,0.1
71,513.0,77.0,0.0,0.0,cyberT,0.1
72,1.0,0.0,0.0,0.0,fold change,0.1
73,402.0,53.0,0.0,0.0,t-test-1,0.1
74,443.0,71.0,0.0,0.0,t-test-2,0.1
75,441.0,80.0,0.0,0.0,modT-1,0.1
76,438.0,78.0,0.0,0.0,modT-2,0.1
77,406.0,71.0,0.0,0.0,modT-1 trend,0.1
78,433.0,77.0,0.0,0.0,modT-2 trend,0.1
79,470.0,82.0,0.0,0.0,cyberT,0.1
80,1.0,0.0,0.0,0.0,fold change,0.1
81,476.0,64.0,0.0,0.0,t-test-1,0.1
82,491.0,71.0,0.0,0.0,t-test-2,0.1
83,475.0,80.0,0.0,0.0,modT-1,0.1
84,472.0,80.0,0.0,0.0,modT-2,0.1
