,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,1.0,0.0,0.0,0.0,fold change,0.1
1,476.0,73.0,0.0,0.0,t-test-1,0.1
2,516.0,83.0,0.0,0.0,t-test-2,0.1
3,463.0,73.0,0.0,0.0,modT-1,0.1
4,508.0,80.0,0.0,0.0,modT-2,0.1
5,215.0,39.0,0.0,0.0,modT-1 trend,0.1
6,508.0,93.0,0.0,0.0,modT-2 trend,0.1
7,564.0,102.0,0.0,0.0,cyberT,0.1
8,1.0,0.0,0.0,0.0,fold change,0.1
9,472.0,75.0,1.0,0.0,t-test-1,0.1
10,509.0,77.0,0.0,0.0,t-test-2,0.1
11,455.0,78.0,0.0,0.0,modT-1,0.1
12,485.0,86.0,0.0,0.0,modT-2,0.1
13,272.0,48.0,0.0,0.0,modT-1 trend,0.1
14,495.0,91.0,0.0,0.0,modT-2 trend,0.1
15,562.0,103.0,4.0,0.0,cyberT,0.1
16,1.0,0.0,0.0,0.0,fold change,0.1
17,470.0,68.0,0.0,0.0,t-test-1,0.1
18,495.0,92.0,0.0,0.0,t-test-2,0.1
19,489.0,73.0,0.0,0.0,modT-1,0.1
20,497.0,84.0,0.0,0.0,modT-2,0.1
21,283.0,47.0,0.0,0.0,modT-1 trend,0.1
22,498.0,93.0,0.0,0.0,modT-2 trend,0.1
23,578.0,101.0,1.0,2.0,cyberT,0.1
24,1.0,0.0,0.0,0.0,fold change,0.1
25,429.0,62.0,0.0,0.0,t-test-1,0.1
26,479.0,90.0,0.0,0.0,t-test-2,0.1
27,458.0,64.0,1.0,0.0,modT-1,0.1
28,471.0,80.0,0.0,0.0,modT-2,0.1
29,283.0,48.0,0.0,0.0,modT-1 trend,0.1
30,475.0,79.0,0.0,0.0,modT-2 trend,0.1
31,550.0,88.0,1.0,0.0,cyberT,0.1
32,1.0,0.0,0.0,0.0,fold change,0.1
33,429.0,60.0,0.0,0.0,t-test-1,0.1
34,462.0,71.0,0.0,0.0,t-test-2,0.1
35,394.0,58.0,0.0,0.0,modT-1,0.1
36,441.0,75.0,0.0,0.0,modT-2,0.1
37,135.0,32.0,0.0,0.0,modT-1 trend,0.1
38,457.0,76.0,0.0,0.0,modT-2 trend,0.1
39,524.0,88.0,2.0,0.0,cyberT,0.1
40,1.0,0.0,0.0,0.0,fold change,0.1
41,446.0,51.0,0.0,0.0,t-test-1,0.1
42,514.0,75.0,0.0,0.0,t-test-2,0.1
43,469.0,68.0,1.0,0.0,modT-1,0.1
44,506.0,68.0,0.0,0.0,modT-2,0.1
45,339.0,47.0,0.0,0.0,modT-1 trend,0.1
46,504.0,73.0,0.0,0.0,modT-2 trend,0.1
47,574.0,91.0,7.0,0.0,cyberT,0.1
48,1.0,0.0,0.0,0.0,fold change,0.1
49,429.0,61.0,0.0,0.0,t-test-1,0.1
50,471.0,84.0,0.0,0.0,t-test-2,0.1
51,441.0,63.0,0.0,0.0,modT-1,0.1
52,462.0,67.0,0.0,0.0,modT-2,0.1
53,238.0,41.0,0.0,0.0,modT-1 trend,0.1
54,466.0,82.0,0.0,1.0,modT-2 trend,0.1
55,526.0,80.0,0.0,1.0,cyberT,0.1
56,1.0,0.0,0.0,0.0,fold change,0.1
57,459.0,70.0,0.0,0.0,t-test-1,0.1
58,476.0,95.0,0.0,0.0,t-test-2,0.1
59,447.0,62.0,0.0,0.0,modT-1,0.1
60,475.0,74.0,0.0,0.0,modT-2,0.1
61,259.0,43.0,0.0,0.0,modT-1 trend,0.1
62,481.0,74.0,0.0,0.0,modT-2 trend,0.1
63,566.0,85.0,3.0,0.0,cyberT,0.1
64,1.0,0.0,0.0,0.0,fold change,0.1
