,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,1.0,0.0,0.0,0.0,fold change,0.1
1,463.0,62.0,0.0,0.0,t-test-1,0.1
2,500.0,81.0,0.0,0.0,t-test-2,0.1
3,460.0,85.0,0.0,0.0,modT-1,0.1
4,467.0,87.0,0.0,0.0,modT-2,0.1
5,274.0,45.0,0.0,0.0,modT-1 trend,0.1
6,467.0,88.0,0.0,0.0,modT-2 trend,0.1
7,537.0,104.0,3.0,1.0,RegT,0.1
8,0.0,1.0,0.0,0.0,fold change,0.1
9,441.0,61.0,0.0,0.0,t-test-1,0.1
10,520.0,86.0,0.0,0.0,t-test-2,0.1
11,463.0,71.0,0.0,0.0,modT-1,0.1
12,499.0,78.0,0.0,0.0,modT-2,0.1
13,251.0,42.0,0.0,0.0,modT-1 trend,0.1
14,502.0,81.0,0.0,0.0,modT-2 trend,0.1
15,582.0,86.0,1.0,1.0,RegT,0.1
16,1.0,0.0,0.0,0.0,fold change,0.1
17,438.0,80.0,0.0,0.0,t-test-1,0.1
18,486.0,74.0,0.0,0.0,t-test-2,0.1
19,451.0,73.0,0.0,0.0,modT-1,0.1
20,475.0,74.0,0.0,0.0,modT-2,0.1
21,251.0,45.0,0.0,0.0,modT-1 trend,0.1
22,472.0,74.0,0.0,0.0,modT-2 trend,0.1
23,557.0,94.0,1.0,0.0,RegT,0.1
24,1.0,0.0,0.0,0.0,fold change,0.1
25,420.0,56.0,0.0,0.0,t-test-1,0.1
26,490.0,77.0,0.0,0.0,t-test-2,0.1
27,456.0,61.0,1.0,0.0,modT-1,0.1
28,463.0,76.0,0.0,0.0,modT-2,0.1
29,214.0,30.0,0.0,0.0,modT-1 trend,0.1
30,465.0,76.0,0.0,0.0,modT-2 trend,0.1
31,548.0,79.0,4.0,2.0,RegT,0.1
32,0.0,1.0,0.0,0.0,fold change,0.1
33,455.0,69.0,0.0,0.0,t-test-1,0.1
34,484.0,82.0,0.0,0.0,t-test-2,0.1
35,437.0,84.0,0.0,0.0,modT-1,0.1
36,461.0,93.0,0.0,0.0,modT-2,0.1
37,204.0,40.0,0.0,0.0,modT-1 trend,0.1
38,459.0,93.0,0.0,0.0,modT-2 trend,0.1
39,540.0,105.0,2.0,2.0,RegT,0.1
40,1.0,0.0,0.0,0.0,fold change,0.1
41,492.0,60.0,0.0,0.0,t-test-1,0.1
42,471.0,77.0,0.0,0.0,t-test-2,0.1
43,456.0,72.0,0.0,0.0,modT-1,0.1
44,475.0,76.0,1.0,0.0,modT-2,0.1
45,264.0,40.0,0.0,0.0,modT-1 trend,0.1
46,476.0,77.0,1.0,0.0,modT-2 trend,0.1
47,552.0,89.0,2.0,0.0,RegT,0.1
48,1.0,0.0,0.0,0.0,fold change,0.1
49,438.0,76.0,0.0,0.0,t-test-1,0.1
50,507.0,80.0,0.0,0.0,t-test-2,0.1
51,456.0,80.0,0.0,0.0,modT-1,0.1
52,490.0,83.0,0.0,0.0,modT-2,0.1
53,254.0,44.0,0.0,0.0,modT-1 trend,0.1
54,490.0,84.0,0.0,0.0,modT-2 trend,0.1
55,556.0,98.0,1.0,0.0,RegT,0.1
56,1.0,0.0,0.0,0.0,fold change,0.1
57,468.0,75.0,0.0,0.0,t-test-1,0.1
58,502.0,101.0,0.0,0.0,t-test-2,0.1
59,445.0,97.0,0.0,0.0,modT-1,0.1
60,458.0,101.0,0.0,0.0,modT-2,0.1
61,285.0,59.0,0.0,0.0,modT-1 trend,0.1
62,458.0,101.0,0.0,0.0,modT-2 trend,0.1
63,543.0,108.0,1.0,0.0,RegT,0.1
64,1.0,1.0,0.0,0.0,fold change,0.1
65,425.0,61.0,0.0,0.0,t-test-1,0.1
66,501.0,71.0,0.0,0.0,t-test-2,0.1
