,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,1.0,0.0,0.0,0.0,fold change,0.1
1,445.0,60.0,0.0,0.0,t-test-1,0.1
2,473.0,87.0,0.0,0.0,t-test-2,0.1
3,487.0,78.0,0.0,0.0,modT-1,0.1
4,498.0,84.0,0.0,0.0,modT-2,0.1
5,215.0,41.0,0.0,0.0,modT-1 trend,0.1
6,495.0,86.0,0.0,0.0,modT-2 trend,0.1
7,589.0,90.0,0.0,0.0,cyberT,0.1
8,0.0,1.0,0.0,0.0,fold change,0.1
9,415.0,63.0,0.0,0.0,t-test-1,0.1
10,482.0,82.0,0.0,0.0,t-test-2,0.1
11,460.0,74.0,0.0,0.0,modT-1,0.1
12,471.0,80.0,0.0,0.0,modT-2,0.1
13,224.0,40.0,0.0,0.0,modT-1 trend,0.1
14,471.0,79.0,0.0,0.0,modT-2 trend,0.1
15,550.0,86.0,0.0,1.0,cyberT,0.1
16,0.0,1.0,0.0,0.0,fold change,0.1
17,457.0,72.0,0.0,0.0,t-test-1,0.1
18,507.0,90.0,0.0,0.0,t-test-2,0.1
19,453.0,83.0,0.0,0.0,modT-1,0.1
20,498.0,99.0,0.0,0.0,modT-2,0.1
21,253.0,50.0,0.0,0.0,modT-1 trend,0.1
22,496.0,98.0,0.0,0.0,modT-2 trend,0.1
23,554.0,109.0,2.0,0.0,cyberT,0.1
24,0.0,1.0,0.0,0.0,fold change,0.1
25,439.0,60.0,0.0,0.0,t-test-1,0.1
26,480.0,88.0,0.0,0.0,t-test-2,0.1
27,460.0,67.0,0.0,0.0,modT-1,0.1
28,478.0,79.0,0.0,0.0,modT-2,0.1
29,242.0,46.0,0.0,0.0,modT-1 trend,0.1
30,478.0,79.0,0.0,0.0,modT-2 trend,0.1
31,562.0,88.0,1.0,1.0,cyberT,0.1
32,1.0,1.0,0.0,0.0,fold change,0.1
33,444.0,62.0,0.0,0.0,t-test-1,0.1
34,454.0,79.0,0.0,0.0,t-test-2,0.1
35,412.0,79.0,0.0,0.0,modT-1,0.1
36,426.0,78.0,0.0,0.0,modT-2,0.1
37,164.0,36.0,0.0,0.0,modT-1 trend,0.1
38,431.0,77.0,0.0,0.0,modT-2 trend,0.1
39,501.0,92.0,0.0,0.0,cyberT,0.1
40,1.0,0.0,0.0,0.0,fold change,0.1
41,478.0,68.0,0.0,0.0,t-test-1,0.1
42,489.0,103.0,0.0,0.0,t-test-2,0.1
43,457.0,90.0,1.0,0.0,modT-1,0.1
44,483.0,104.0,1.0,0.0,modT-2,0.1
45,256.0,50.0,0.0,0.0,modT-1 trend,0.1
46,487.0,101.0,1.0,0.0,modT-2 trend,0.1
47,566.0,116.0,5.0,0.0,cyberT,0.1
48,1.0,0.0,0.0,0.0,fold change,0.1
49,466.0,60.0,0.0,0.0,t-test-1,0.1
50,521.0,85.0,0.0,0.0,t-test-2,0.1
51,453.0,91.0,0.0,0.0,modT-1,0.1
52,476.0,99.0,0.0,0.0,modT-2,0.1
53,243.0,53.0,0.0,0.0,modT-1 trend,0.1
54,476.0,100.0,0.0,0.0,modT-2 trend,0.1
55,564.0,108.0,2.0,0.0,cyberT,0.1
56,1.0,0.0,0.0,0.0,fold change,0.1
57,487.0,50.0,0.0,0.0,t-test-1,0.1
58,512.0,85.0,0.0,0.0,t-test-2,0.1
59,463.0,73.0,1.0,0.0,modT-1,0.1
60,488.0,86.0,1.0,0.0,modT-2,0.1
