,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
0,1.0,0.0,0.0,0.0,fold change,0.1
1,419.0,78.0,0.0,0.0,t-test-1,0.1
2,471.0,89.0,1.0,1.0,t-test-2,0.1
3,426.0,77.0,0.0,0.0,modT-1,0.1
4,469.0,89.0,0.0,0.0,modT-2,0.1
5,229.0,46.0,0.0,0.0,modT-1 trend,0.1
6,462.0,93.0,0.0,0.0,modT-2 trend,0.1
7,539.0,101.0,0.0,0.0,cyberT,0.1
8,1.0,0.0,0.0,0.0,fold change,0.1
9,447.0,71.0,0.0,0.0,t-test-1,0.1
10,510.0,101.0,0.0,0.0,t-test-2,0.1
11,451.0,74.0,0.0,0.0,modT-1,0.1
12,473.0,86.0,0.0,0.0,modT-2,0.1
13,302.0,63.0,0.0,0.0,modT-1 trend,0.1
14,480.0,92.0,0.0,0.0,modT-2 trend,0.1
15,565.0,100.0,3.0,0.0,cyberT,0.1
16,1.0,0.0,0.0,0.0,fold change,0.1
17,435.0,64.0,0.0,0.0,t-test-1,0.1
18,459.0,84.0,0.0,0.0,t-test-2,0.1
19,412.0,55.0,0.0,0.0,modT-1,0.1
20,452.0,71.0,0.0,0.0,modT-2,0.1
21,212.0,32.0,0.0,0.0,modT-1 trend,0.1
22,463.0,68.0,1.0,0.0,modT-2 trend,0.1
23,547.0,80.0,4.0,1.0,cyberT,0.1
24,0.0,1.0,0.0,0.0,fold change,0.1
25,450.0,67.0,0.0,0.0,t-test-1,0.1
26,499.0,96.0,0.0,0.0,t-test-2,0.1
27,452.0,81.0,1.0,0.0,modT-1,0.1
28,494.0,97.0,0.0,0.0,modT-2,0.1
29,288.0,62.0,0.0,0.0,modT-1 trend,0.1
30,493.0,102.0,0.0,0.0,modT-2 trend,0.1
31,563.0,107.0,0.0,0.0,cyberT,0.1
32,1.0,0.0,0.0,0.0,fold change,0.1
33,468.0,73.0,0.0,0.0,t-test-1,0.1
34,505.0,82.0,0.0,0.0,t-test-2,0.1
35,429.0,86.0,1.0,0.0,modT-1,0.1
36,452.0,94.0,1.0,0.0,modT-2,0.1
37,294.0,55.0,0.0,0.0,modT-1 trend,0.1
38,460.0,96.0,0.0,0.0,modT-2 trend,0.1
39,538.0,116.0,0.0,0.0,cyberT,0.1
40,1.0,0.0,0.0,0.0,fold change,0.1
41,468.0,72.0,0.0,0.0,t-test-1,0.1
42,484.0,74.0,0.0,0.0,t-test-2,0.1
43,432.0,70.0,0.0,0.0,modT-1,0.1
44,468.0,73.0,0.0,0.0,modT-2,0.1
45,255.0,45.0,0.0,0.0,modT-1 trend,0.1
46,469.0,87.0,0.0,0.0,modT-2 trend,0.1
47,524.0,106.0,2.0,0.0,cyberT,0.1
48,1.0,0.0,0.0,0.0,fold change,0.1
49,436.0,72.0,0.0,0.0,t-test-1,0.1
50,468.0,88.0,0.0,0.0,t-test-2,0.1
51,391.0,70.0,0.0,0.0,modT-1,0.1
52,418.0,74.0,0.0,0.0,modT-2,0.1
53,246.0,47.0,0.0,0.0,modT-1 trend,0.1
54,432.0,85.0,0.0,0.0,modT-2 trend,0.1
55,512.0,87.0,0.0,0.0,cyberT,0.1
56,1.0,0.0,0.0,0.0,fold change,0.1
57,466.0,80.0,0.0,0.0,t-test-1,0.1
58,531.0,87.0,1.0,1.0,t-test-2,0.1
59,469.0,85.0,0.0,0.0,modT-1,0.1
60,509.0,90.0,0.0,0.0,modT-2,0.1
61,312.0,62.0,0.0,0.0,modT-1 trend,0.1
62,510.0,87.0,0.0,0.0,modT-2 trend,0.1
63,607.0,100.0,1.0,0.0,cyberT,0.1
64,1.0,0.0,0.0,0.0,fold change,0.1
65,476.0,57.0,0.0,0.0,t-test-1,0.1
66,488.0,81.0,0.0,0.0,t-test-2,0.1
67,454.0,76.0,1.0,0.0,modT-1,0.1
68,506.0,89.0,0.0,0.0,modT-2,0.1
69,280.0,44.0,0.0,0.0,modT-1 trend,0.1
70,506.0,94.0,2.0,0.0,modT-2 trend,0.1
