,AUROC,AUPRC,pAUROC,labels,setting
0,0.87755805,0.41951987,0.22996,fold change,"(1, 9)"
1,0.8557647,0.44971886,0.27183113,t-test-1,"(1, 9)"
2,,,,t-test-2,"(1, 9)"
3,0.8720435,0.48606157,0.31484666,modT-1,"(1, 9)"
4,0.8720435,0.48606157,0.31484666,modT-2,"(1, 9)"
5,0.87378323,0.51374716,0.33352888,modT-1 trend,"(1, 9)"
6,0.87451607,0.5153354,0.34765556,modT-2 trend,"(1, 9)"
7,0.87965643,0.5287531,0.36823332,cyberT,"(1, 9)"
8,0.8833776,0.41856614,0.2235,fold change,"(1, 9)"
9,0.86060494,0.4418004,0.27095333,t-test-1,"(1, 9)"
10,,,,t-test-2,"(1, 9)"
11,0.8768628,0.48251882,0.31160668,modT-1,"(1, 9)"
12,0.8768628,0.48251882,0.31160668,modT-2,"(1, 9)"
13,0.878356,0.5082887,0.33005556,modT-1 trend,"(1, 9)"
14,0.88079417,0.51215243,0.33825332,modT-2 trend,"(1, 9)"
15,0.88737464,0.53260154,0.36228,cyberT,"(1, 9)"
16,0.8813431,0.4115381,0.21273111,fold change,"(1, 9)"
17,0.8599822,0.44354397,0.26766,t-test-1,"(1, 9)"
18,,,,t-test-2,"(1, 9)"
19,0.876989,0.48739326,0.31735554,modT-1,"(1, 9)"
20,0.876989,0.48739326,0.31735554,modT-2,"(1, 9)"
21,0.8791218,0.5114513,0.33706,modT-1 trend,"(1, 9)"
22,0.8808071,0.51827455,0.3501,modT-2 trend,"(1, 9)"
23,0.8866654,0.5367212,0.37242,cyberT,"(1, 9)"
24,0.87745047,0.41197696,0.21670888,fold change,"(1, 9)"
25,0.86252385,0.4691501,0.29144445,t-test-1,"(1, 9)"
26,,,,t-test-2,"(1, 9)"
27,0.87732637,0.5048387,0.3431222,modT-1,"(1, 9)"
28,0.87732637,0.5048387,0.3431222,modT-2,"(1, 9)"
29,0.87960064,0.5257244,0.36178666,modT-1 trend,"(1, 9)"
30,0.8817416,0.5378179,0.37581334,modT-2 trend,"(1, 9)"
31,0.8875056,0.5562968,0.39624667,cyberT,"(1, 9)"
32,0.87340736,0.39695385,0.19751778,fold change,"(1, 9)"
33,0.8562102,0.42898536,0.2522778,t-test-1,"(1, 9)"
34,,,,t-test-2,"(1, 9)"
35,0.8724889,0.4700171,0.29404888,modT-1,"(1, 9)"
36,0.8724889,0.4700171,0.29404888,modT-2,"(1, 9)"
37,0.8743647,0.50628436,0.31965777,modT-1 trend,"(1, 9)"
38,0.87638223,0.49900442,0.3304,modT-2 trend,"(1, 9)"
39,0.88213843,0.52098644,0.35672444,cyberT,"(1, 9)"
40,0.8714709,0.39737692,0.20304,fold change,"(1, 9)"
41,0.85320467,0.43020818,0.2614822,t-test-1,"(1, 9)"
42,,,,t-test-2,"(1, 9)"
