,AUROC,AUPRC,pAUROC,labels,setting
0,0.998997211456,0.993550717831,0.985408902168,ModT,1.2
1,0.999633610249,0.997526466846,0.993962228298,CyberT P-value,1.2
2,0.992721438408,0.947883546352,0.897786676884,Two sample t-test,1.2
3,0.974661052227,0.767543673515,0.612953305244,One sample t-test,1.2
4,0.999714553356,0.997411370277,0.994291126728,Absolute fold change,1.2
5,0.995657205582,0.975439369678,0.945620000362,ModT (2-sample),1.2
6,0.999509751797,0.995865106583,0.990226686001,ModT,1.2
7,0.0498740002513,0.998899102211,0.997479975224,CyberT P-value,1.2
8,0.994626402855,0.957546651363,0.909139990807,Two sample t-test,1.2
9,0.977793216705,0.798266172409,0.652395546436,One sample t-test,1.2
10,0.999698877335,0.991930961609,0.99397778511,Absolute fold change,1.2
11,0.997331082821,0.98043358326,0.953895568848,ModT (2-sample),1.2
12,0.999206066132,0.994281589985,0.988304436207,ModT,1.2
13,0.99954688549,0.996418952942,0.993482232094,CyberT P-value,1.2
14,0.993756115437,0.95282793045,0.903282225132,Two sample t-test,1.2
15,0.977798163891,0.801720261574,0.656342208385,One sample t-test,1.2
16,0.999398767948,0.993094086647,0.99007332325,Absolute fold change,1.2
17,0.99621629715,0.975498437881,0.950897753239,ModT (2-sample),1.2
18,0.999657213688,0.996109783649,0.993551135063,ModT,1.2
19,0.0498097762465,0.995346426964,0.996195554733,CyberT P-value,1.2
20,0.995580255985,0.956431090832,0.916097760201,Two sample t-test,1.2
21,0.979306638241,0.793693304062,0.648064434528,One sample t-test,1.2
22,0.999441087246,0.986214160919,0.988822221756,Absolute fold change,1.2
23,0.997778296471,0.976744115353,0.957251131535,ModT (2-sample),1.2
24,0.99933975935,0.995599448681,0.990388870239,ModT,1.2
25,0.999783813953,0.998402178288,0.99655777216,CyberT P-value,1.2
26,0.9943318367,0.955925583839,0.910724461079,Two sample t-test,1.2
27,0.976234018803,0.779197156429,0.625891089439,One sample t-test,1.2
28,0.999727249146,0.997293353081,0.994544446468,Absolute fold change,1.2
29,0.995944321156,0.976689279079,0.949782192707,ModT (2-sample),1.2
30,0.998933672905,0.994176328182,0.988417804241,ModT,1.2
31,0.999456644058,0.996748268604,0.993448913097,CyberT P-value,1.2
32,0.993029892445,0.953151106834,0.903251111507,Two sample t-test,1.2
33,0.975278794765,0.771911561489,0.612879991531,One sample t-test,1.2
34,0.999610066414,0.993425011635,0.992373347282,Absolute fold change,1.2
35,0.996300637722,0.978556036949,0.951891124249,ModT (2-sample),1.2
36,0.049656111747,0.997301578522,0.993122220039,ModT,1.2
37,0.999906122684,0.999167740345,0.998122215271,CyberT P-value,1.2
38,0.994370818138,0.954462528229,0.904273331165,Two sample t-test,1.2
39,0.978509664536,0.775185823441,0.6473133564,One sample t-test,1.2
40,0.999455094337,0.988319754601,0.989102244377,Absolute fold change,1.2
41,0.997377693653,0.982698500156,0.959488868713,ModT (2-sample),1.2
42,0.99858289957,0.991514086723,0.983735561371,ModT,1.2
43,0.999230384827,0.996408224106,0.992753326893,CyberT P-value,1.2
44,0.991905927658,0.935333311558,0.882668912411,Two sample t-test,1.2
45,0.974067151546,0.766824781895,0.617877781391,One sample t-test,1.2
46,0.999325096607,0.992906630039,0.98949110508,Absolute fold change,1.2
47,0.995522022247,0.975871682167,0.9493688941,ModT (2-sample),1.2
48,0.999424993992,0.995604991913,0.989586651325,ModT,1.2
49,0.0498782210052,0.998928010464,0.997564435005,CyberT P-value,1.2
50,0.99472284317,0.960335969925,0.91500222683,Two sample t-test,1.2
51,0.97765827179,0.782375752926,0.640668869019,One sample t-test,1.2
52,0.999763250351,0.996386945248,0.995264470577,Absolute fold change,1.2
53,0.99741435051,0.982042849064,0.95732665062,ModT (2-sample),1.2
54,0.999441027641,0.995483577251,0.988951086998,ModT,1.2
55,0.999774038792,0.99812734127,0.995715558529,CyberT P-value,1.2
56,0.995201528072,0.957006037235,0.918051123619,Two sample t-test,1.2
57,0.978139162064,0.792979896069,0.653337776661,One sample t-test,1.2
58,0.999702215195,0.99702590704,0.994044423103,Absolute fold change,1.2
59,0.997685015202,0.981806635857,0.959722220898,ModT (2-sample),1.2
60,0.999209463596,0.995327413082,0.989435553551,ModT,1.2
61,0.999791800976,0.998542785645,0.996999979019,CyberT P-value,1.2
62,0.993527770042,0.946271240711,0.897262215614,Two sample t-test,1.2
63,0.975832462311,0.773106396198,0.621999979019,One sample t-test,1.2
64,0.999733567238,0.997099578381,0.994671106339,Absolute fold change,1.2
65,0.996483325958,0.978156507015,0.949586689472,ModT (2-sample),1.2
66,0.998882591724,0.994006514549,0.987208902836,ModT,1.2
67,0.999106287956,0.995895922184,0.992524445057,CyberT P-value,1.2
68,0.991413474083,0.936850667,0.883006691933,Two sample t-test,1.2
69,0.975043416023,0.767629444599,0.616851091385,One sample t-test,1.2
70,0.999414026737,0.988217413425,0.990486681461,Absolute fold change,1.2
71,0.994654238224,0.972348809242,0.938095569611,ModT (2-sample),1.2
72,0.998642802238,0.993707358837,0.98701775074,ModT,1.2
73,0.999434113503,0.998175561428,0.996404469013,CyberT P-value,1.2
74,0.993495762348,0.951614677906,0.90547555685,Two sample t-test,1.2
75,0.976823627949,0.791651248932,0.661599993706,One sample t-test,1.2
76,0.999720036983,0.997183442116,0.994993329048,Absolute fold change,1.2
77,0.995772004128,0.978152155876,0.950702250004,ModT (2-sample),1.2
78,0.999023973942,0.993499815464,0.985155582428,ModT,1.2
79,0.999646484852,0.997530758381,0.994431138039,CyberT P-value,1.2
80,0.992740750313,0.947054982185,0.888111114502,Two sample t-test,1.2
81,0.977467894554,0.808318734169,0.675268888474,One sample t-test,1.2
82,0.999508976936,0.990516483784,0.990293323994,Absolute fold change,1.2
83,0.995701551437,0.972652673721,0.93978446722,ModT (2-sample),1.2
84,0.998994290829,0.992444992065,0.984991133213,ModT,1.2
85,0.999638736248,0.99699896574,0.993602216244,CyberT P-value,1.2
86,0.993690669537,0.951891183853,0.901733338833,Two sample t-test,1.2
87,0.976355075836,0.785865783691,0.638019979,One sample t-test,1.2
88,0.99955701828,0.991214096546,0.991208910942,Absolute fold change,1.2
89,0.996433198452,0.976598620415,0.949384450912,ModT (2-sample),1.2
90,0.999515771866,0.99606347084,0.990315556526,ModT,1.2
91,0.0498031117022,0.998367846012,0.996062219143,CyberT P-value,1.2
92,0.994287371635,0.948350787163,0.904206693172,Two sample t-test,1.2
93,0.976919591427,0.791642248631,0.646448910236,One sample t-test,1.2
94,0.999701082706,0.99700063467,0.994022250175,Absolute fold change,1.2
95,0.997018158436,0.976207792759,0.948837757111,ModT (2-sample),1.2
96,0.998440563679,0.993908882141,0.988262236118,ModT,1.2
97,0.999101161957,0.995319843292,0.992020010948,CyberT P-value,1.2
98,0.992747306824,0.950457513332,0.895782232285,Two sample t-test,1.2
99,0.976533949375,0.786484241486,0.643244445324,One sample t-test,1.2
100,0.998810887337,0.985847949982,0.98475331068,Absolute fold change,1.2
101,0.995890080929,0.977144896984,0.949906647205,ModT (2-sample),1.2
102,0.998959958553,0.993676841259,0.987893342972,ModT,1.2
103,0.999523222446,0.996752023697,0.99324887991,CyberT P-value,1.2
104,0.993474304676,0.950492322445,0.902628898621,Two sample t-test,1.2
105,0.9766086936,0.793809890747,0.639504432678,One sample t-test,1.2
106,0.999367415905,0.991690516472,0.987662196159,Absolute fold change,1.2
107,0.996583342552,0.978453695774,0.953157782555,ModT (2-sample),1.2
108,0.99848395586,0.994004905224,0.986686646938,ModT,1.2
109,0.999357461929,0.997379243374,0.994526684284,CyberT P-value,1.2
110,0.993968248367,0.962538003922,0.922233343124,Two sample t-test,1.2
111,0.976611196995,0.784051537514,0.647453308105,One sample t-test,1.2
112,0.998719096184,0.989919602871,0.9858533144,Absolute fold change,1.2
113,0.995524406433,0.97789555788,0.954268872738,ModT (2-sample),1.2
114,0.999609649181,0.997189044952,0.993824422359,ModT,1.2
115,0.999794006348,0.998438894749,0.996426641941,CyberT P-value,1.2
116,0.994336903095,0.955698609352,0.909477770329,Two sample t-test,1.2
117,0.978457450867,0.797264397144,0.6521666646,One sample t-test,1.2
118,0.999681651592,0.99417078495,0.993633329868,Absolute fold change,1.2
119,0.997395157814,0.983039081097,0.959586679935,ModT (2-sample),1.2
120,0.998766183853,0.993313372135,0.985675573349,ModT,1.2
121,0.999327003956,0.996452748775,0.991879999638,CyberT P-value,1.2
122,0.992085874081,0.951255023479,0.909111082554,Two sample t-test,1.2
123,0.975936233997,0.776123583317,0.635442197323,One sample t-test,1.2
124,0.999709248543,0.995016276836,0.994379997253,Absolute fold change,1.2
125,0.994512796402,0.977244436741,0.953562200069,ModT (2-sample),1.2
126,0.999537110329,0.996431648731,0.991606652737,ModT,1.2
127,0.999837517738,0.998766601086,0.99676668644,CyberT P-value,1.2
128,0.994204640388,0.952118813992,0.911113321781,Two sample t-test,1.2
129,0.977450430393,0.791296839714,0.643328905106,One sample t-test,1.2
130,0.999902904034,0.999125421047,0.99805778265,Absolute fold change,1.2
131,0.996773600578,0.97724199295,0.949904441833,ModT (2-sample),1.2
132,0.999336242676,0.997022032738,0.993673324585,ModT,1.2
133,0.999724030495,0.998208761215,0.996024429798,CyberT P-value,1.2
134,0.993876755238,0.952105462551,0.907928884029,Two sample t-test,1.2
135,0.97824382782,0.795014858246,0.661486685276,One sample t-test,1.2
136,0.999693512917,0.995427370071,0.994253337383,Absolute fold change,1.2
137,0.996505439281,0.981421291828,0.957506656647,ModT (2-sample),1.2
138,0.998368084431,0.994490802288,0.988279998302,ModT,1.2
139,0.999019265175,0.99723315239,0.994317770004,CyberT P-value,1.2
140,0.992392420769,0.947478950024,0.902553319931,Two sample t-test,1.2
141,0.97628980875,0.798578262329,0.654093325138,One sample t-test,1.2
142,0.999543309212,0.995411753654,0.993200004101,Absolute fold change,1.2
