AUROC,AUPRC,pAUROC,labels,setting
0.911632716656,0.574469864368,0.40809109807,ModT,2
0.91368418932,0.583777070045,0.419448882341,CyberT P-value,2
0.84241771698,0.36408033967,0.184408888221,Two sample t-test,2
0.779630243778,0.236316457391,0.0892933309078,One sample t-test,2
0.911812484264,0.540408670902,0.370039999485,Absolute fold change,2
0.914345681667,0.600178301334,0.429237782955,ModT,2
0.916197657585,0.610716104507,0.432806670666,CyberT P-value,2
0.849197149277,0.356494933367,0.176271110773,Two sample t-test,2
0.784256160259,0.236682400107,0.0810822248459,One sample t-test,2
0.913615822792,0.565801084042,0.383240014315,Absolute fold change,2
0.917320847511,0.608185708523,0.439528882504,ModT,2
0.917499601841,0.625917136669,0.453273326159,CyberT P-value,2
0.842920422554,0.353573352098,0.179257780313,Two sample t-test,2
0.782471239567,0.231480613351,0.0746022239327,One sample t-test,2
0.916425406933,0.581064760685,0.410697788,Absolute fold change,2
0.90646559,0.555241823196,0.380606681108,ModT,2
0.906449496746,0.568435430527,0.389326661825,CyberT P-value,2
0.833711564541,0.351659208536,0.184797778726,Two sample t-test,2
0.769486367702,0.218970879912,0.0753644481301,One sample t-test,2
0.906568050385,0.537150025368,0.35855999589,Absolute fold change,2
0.90662586689,0.575877606869,0.405991107225,ModT,2
0.907019138336,0.59202337265,0.429057776928,CyberT P-value,2
0.834801137447,0.346508413553,0.170666664839,Two sample t-test,2
0.770124137402,0.232018575072,0.0881133303046,One sample t-test,2
0.906414985657,0.5483481884,0.377406656742,Absolute fold change,2
0.913138628006,0.579657554626,0.4093311131,ModT,2
0.9144333601,0.592402994633,0.425457775593,CyberT P-value,2
0.838455021381,0.342798918486,0.163315549493,Two sample t-test,2
0.776732683182,0.240691840649,0.0913977771997,One sample t-test,2
0.913117408752,0.552360534668,0.380271106958,Absolute fold change,2
0.914606332779,0.586351394653,0.414557784796,ModT,2
0.916204690933,0.58662712574,0.418204456568,CyberT P-value,2
0.841023743153,0.349689990282,0.168413326144,Two sample t-test,2
0.775423765182,0.227676257491,0.0779022201896,One sample t-test,2
0.915511071682,0.558664143085,0.380973339081,Absolute fold change,2
0.906742751598,0.563454985619,0.403922230005,ModT,2
0.907177865505,0.582944571972,0.42709556222,CyberT P-value,2
0.835443019867,0.348475575447,0.167642220855,Two sample t-test,2
0.772635638714,0.226820901036,0.0764666646719,One sample t-test,2
0.905888557434,0.53875207901,0.37055554986,Absolute fold change,2
0.901004135609,0.572316229343,0.406819999218,ModT,2
0.900744616985,0.58315372467,0.416759997606,CyberT P-value,2
0.83077609539,0.353550136089,0.184331104159,Two sample t-test,2
0.776959359646,0.233272239566,0.079095557332,One sample t-test,2
0.900440633297,0.544765949249,0.379966676235,Absolute fold change,2
0.910330295563,0.570823669434,0.392733335495,ModT,2
0.911891460419,0.584836363792,0.402835547924,CyberT P-value,2
0.843301832676,0.352161109447,0.167273327708,Two sample t-test,2
0.781579732895,0.233103916049,0.0814288854599,One sample t-test,2
0.910490274429,0.550083696842,0.376422226429,Absolute fold change,2
0.91024273634,0.565492749214,0.393931120634,ModT,2
0.911369740963,0.577556371689,0.404100000858,CyberT P-value,2
0.842532873154,0.370539933443,0.190740004182,Two sample t-test,2
0.779333889484,0.230623319745,0.0811644420028,One sample t-test,2
0.909545958042,0.544089019299,0.360924452543,Absolute fold change,2
0.906268298626,0.573970794678,0.414491117001,ModT,2
0.906941771507,0.587795257568,0.428055554628,CyberT P-value,2
0.8340061903,0.350880980492,0.180473327637,Two sample t-test,2
0.769406318665,0.220756754279,0.0687066689134,One sample t-test,2
0.90630453825,0.548190116882,0.386440008879,Absolute fold change,2
0.902146935463,0.542377471924,0.380451112986,ModT,2
0.905108749866,0.545163393021,0.374328881502,CyberT P-value,2
0.836435258389,0.346035182476,0.174915552139,Two sample t-test,2
0.764802575111,0.214117586613,0.0687666684389,One sample t-test,2
0.904490411282,0.503624379635,0.32518222928,Absolute fold change,2
0.910107672215,0.583378136158,0.414162218571,ModT,2
0.911794304848,0.596815228462,0.426575541496,CyberT P-value,2
0.836312115192,0.363743215799,0.190239995718,Two sample t-test,2
0.77600646019,0.233618855476,0.0903377756476,One sample t-test,2
0.911794662476,0.56375002861,0.387577772141,Absolute fold change,2
0.903567194939,0.58980602026,0.420219987631,ModT,2
0.904239237309,0.58735793829,0.417971104383,CyberT P-value,2
0.828806757927,0.331191629171,0.164286673069,Two sample t-test,2
0.776033461094,0.226771339774,0.0716777741909,One sample t-test,2
0.904024422169,0.550806105137,0.379184454679,Absolute fold change,2
0.914284944534,0.576009631157,0.412235558033,ModT,2
0.916242420673,0.592614710331,0.418693333864,CyberT P-value,2
0.836993873119,0.347747087479,0.176748886704,Two sample t-test,2
0.780523955822,0.238273188472,0.0899177789688,One sample t-test,2
0.915392756462,0.559949934483,0.390362232924,Absolute fold change,2
0.913500607014,0.583964705467,0.415637791157,ModT,2
0.918131530285,0.597831904888,0.423988878727,CyberT P-value,2
0.847189724445,0.358571618795,0.181791111827,Two sample t-test,2
0.779632270336,0.230160325766,0.0789911076427,One sample t-test,2
0.916127800941,0.555277466774,0.380002230406,Absolute fold change,2
0.914747416973,0.582354545593,0.424066662788,ModT,2
0.914832293987,0.591241121292,0.429740011692,CyberT P-value,2
0.844446778297,0.362568348646,0.181713327765,Two sample t-test,2
0.79058945179,0.247151076794,0.0960755571723,One sample t-test,2
0.912950456142,0.545221626759,0.378686666489,Absolute fold change,2
0.911665558815,0.573502600193,0.406388878822,ModT,2
0.912453711033,0.580557405949,0.412373334169,CyberT P-value,2
0.84004431963,0.345319956541,0.166031107306,Two sample t-test,2
0.778726935387,0.229098901153,0.0750288888812,One sample t-test,2
0.912127673626,0.547059118748,0.370928883553,Absolute fold change,2
0.91051697731,0.536961555481,0.367280006409,ModT,2
0.910455584526,0.546747505665,0.37907999754,CyberT P-value,2
0.840750396252,0.339225977659,0.165882214904,Two sample t-test,2
0.780043363571,0.225355654955,0.0691244453192,One sample t-test,2
0.908733427525,0.515268743038,0.339913338423,Absolute fold change,2
0.916010081768,0.58790999651,0.429824441671,ModT,2
0.91623455286,0.596862673759,0.429071098566,CyberT P-value,2
0.848639428616,0.366666316986,0.185991108418,Two sample t-test,2
0.788211226463,0.241525858641,0.0867511108518,One sample t-test,2
0.914254844189,0.553116679192,0.380100011826,Absolute fold change,2
0.906082808971,0.55585873127,0.380526661873,ModT,2
0.906710505486,0.564553439617,0.387637764215,CyberT P-value,2
0.826562047005,0.317532807589,0.151773333549,Two sample t-test,2
0.770218968391,0.22448502481,0.0708911120892,One sample t-test,2
0.906295597553,0.53165346384,0.351777791977,Absolute fold change,2
0.91512721777,0.604066610336,0.434984445572,ModT,2
0.917949855328,0.612758636475,0.441904455423,CyberT P-value,2
0.84281462431,0.360464990139,0.19017110765,Two sample t-test,2
0.78253287077,0.238156437874,0.084540002048,One sample t-test,2
0.916872024536,0.567346155643,0.391535550356,Absolute fold change,2
0.911165356636,0.566943228245,0.405311107635,ModT,2
0.911555707455,0.571246027946,0.403306663036,CyberT P-value,2
0.838590145111,0.343265801668,0.162473335862,Two sample t-test,2
0.787485361099,0.241317436099,0.0822200030088,One sample t-test,2
0.910073339939,0.535293996334,0.354259997606,Absolute fold change,2
0.913341701031,0.580418407917,0.419551104307,ModT,2
0.913185596466,0.590790212154,0.42186665535,CyberT P-value,2
0.841691315174,0.349473446608,0.173653334379,Two sample t-test,2
0.778347074986,0.230076283216,0.0811422243714,One sample t-test,2
0.912967979908,0.54731965065,0.378277778625,Absolute fold change,2
0.915262281895,0.581917583942,0.417504429817,ModT,2
0.914941608906,0.591358780861,0.428153336048,CyberT P-value,2
0.845570683479,0.361787796021,0.185282215476,Two sample t-test,2
0.788569092751,0.251778721809,0.0996177792549,One sample t-test,2
0.912956833839,0.549040317535,0.377142220736,Absolute fold change,2
0.903739154339,0.565735816956,0.3869599998,ModT,2
0.904306232929,0.579876542091,0.405337780714,CyberT P-value,2
0.828692674637,0.320185869932,0.143388882279,Two sample t-test,2
0.769561946392,0.224270522594,0.0777644440532,One sample t-test,2
0.903090953827,0.542213797569,0.360393345356,Absolute fold change,2
0.907747328281,0.563117980957,0.401775568724,ModT,2
0.90729278326,0.576976358891,0.414422214031,CyberT P-value,2
0.837262868881,0.348588496447,0.179426670074,Two sample t-test,2
0.786274433136,0.234930917621,0.0787111148238,One sample t-test,2
0.90604698658,0.54282194376,0.368653327227,Absolute fold change,2
0.901331841946,0.557659506798,0.394059985876,ModT,2
0.9022590518,0.567790567875,0.404926657677,CyberT P-value,2
0.824825406075,0.312053501606,0.144891113043,Two sample t-test,2
0.762333810329,0.213939681649,0.0726644471288,One sample t-test,2
