,AUROC,AUPRC,pAUROC,labels,setting
0,0.642607331276,0.359971642494,0.12615250051,ModT,"nctrl=1, nexp=5"
1,0.659303605556,0.38245010376,0.140741243958,CyberT P-value,"nctrl=1, nexp=5"
2,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
3,0.641810119152,0.351397931576,0.11845125258,One sample t-test,"nctrl=1, nexp=5"
4,0.659130871296,0.354524344206,0.112992502749,Absolute fold change,"nctrl=1, nexp=5"
5,0.66156411171,0.370984494686,0.11699000001,ModT,"nctrl=1, nexp=5"
6,0.676327347755,0.395925760269,0.138616248965,CyberT P-value,"nctrl=1, nexp=5"
7,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
8,0.658067703247,0.357221782207,0.105537496507,One sample t-test,"nctrl=1, nexp=5"
9,0.674425840378,0.370649427176,0.117486253381,Absolute fold change,"nctrl=1, nexp=5"
10,0.64561021328,0.353452503681,0.118496246636,ModT,"nctrl=1, nexp=5"
11,0.66060847044,0.377213537693,0.133612498641,CyberT P-value,"nctrl=1, nexp=5"
12,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
13,0.642055213451,0.33954295516,0.102516248822,One sample t-test,"nctrl=1, nexp=5"
14,0.660347819328,0.354044884443,0.105647496879,Absolute fold change,"nctrl=1, nexp=5"
15,0.649490118027,0.362392514944,0.121826246381,ModT,"nctrl=1, nexp=5"
16,0.66177469492,0.383215725422,0.134148746729,CyberT P-value,"nctrl=1, nexp=5"
17,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
18,0.649376809597,0.357345491648,0.116847500205,One sample t-test,"nctrl=1, nexp=5"
19,0.661844730377,0.357029289007,0.11046499759,Absolute fold change,"nctrl=1, nexp=5"
20,0.650896310806,0.368919909,0.124496251345,ModT,"nctrl=1, nexp=5"
21,0.662894129753,0.38839328289,0.136862501502,CyberT P-value,"nctrl=1, nexp=5"
22,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
23,0.650918662548,0.367788612843,0.119266249239,One sample t-test,"nctrl=1, nexp=5"
24,0.659596562386,0.353854119778,0.108697496355,Absolute fold change,"nctrl=1, nexp=5"
25,0.661791324615,0.384749501944,0.137008756399,ModT,"nctrl=1, nexp=5"
26,0.674385607243,0.404157757759,0.150362506509,CyberT P-value,"nctrl=1, nexp=5"
27,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
28,0.663918673992,0.376664787531,0.121712498367,One sample t-test,"nctrl=1, nexp=5"
29,0.672047734261,0.378442168236,0.126385003328,Absolute fold change,"nctrl=1, nexp=5"
30,0.659068226814,0.367479324341,0.117628753185,ModT,"nctrl=1, nexp=5"
31,0.665890216827,0.383013904095,0.127632498741,CyberT P-value,"nctrl=1, nexp=5"
32,0.0,0.0,0.0,Two sample t-test,"nctrl=1, nexp=5"
33,0.654322683811,0.357064247131,0.112055003643,One sample t-test,"nctrl=1, nexp=5"
34,0.663964807987,0.35556769371,0.103041246533,Absolute fold change,"nctrl=1, nexp=5"
