FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
527.0,201.0,0.0,1.0,cyberT,0.2
461.0,187.0,0.0,0.0,modT,0.2
479.0,104.0,0.0,0.0,t test (1-sample),0.2
449.0,171.0,0.0,0.0,t-test,0.2
461.0,190.0,0.0,0.0,modT (2-sample),0.2
505.0,217.0,7.0,1.0,cyberT,0.2
468.0,206.0,0.0,0.0,modT,0.2
479.0,126.0,0.0,0.0,t test (1-sample),0.2
474.0,162.0,0.0,0.0,t-test,0.2
448.0,207.0,0.0,0.0,modT (2-sample),0.2
488.0,201.0,2.0,1.0,cyberT,0.2
440.0,174.0,0.0,0.0,modT,0.2
449.0,145.0,0.0,0.0,t test (1-sample),0.2
443.0,178.0,0.0,0.0,t-test,0.2
434.0,198.0,0.0,0.0,modT (2-sample),0.2
523.0,194.0,1.0,0.0,cyberT,0.2
458.0,185.0,0.0,0.0,modT,0.2
426.0,153.0,0.0,0.0,t test (1-sample),0.2
461.0,179.0,0.0,0.0,t-test,0.2
457.0,200.0,0.0,0.0,modT (2-sample),0.2
527.0,200.0,2.0,0.0,cyberT,0.2
462.0,185.0,0.0,0.0,modT,0.2
441.0,118.0,0.0,0.0,t test (1-sample),0.2
456.0,178.0,0.0,0.0,t-test,0.2
464.0,200.0,0.0,0.0,modT (2-sample),0.2
518.0,182.0,3.0,0.0,cyberT,0.2
445.0,163.0,0.0,0.0,modT,0.2
447.0,112.0,0.0,0.0,t test (1-sample),0.2
436.0,167.0,0.0,0.0,t-test,0.2
438.0,181.0,0.0,0.0,modT (2-sample),0.2
512.0,204.0,0.0,0.0,cyberT,0.2
444.0,189.0,0.0,0.0,modT,0.2
422.0,134.0,0.0,0.0,t test (1-sample),0.2
439.0,176.0,0.0,0.0,t-test,0.2
447.0,200.0,0.0,0.0,modT (2-sample),0.2
516.0,198.0,11.0,1.0,cyberT,0.2
418.0,178.0,0.0,0.0,modT,0.2
436.0,128.0,0.0,0.0,t test (1-sample),0.2
436.0,189.0,0.0,0.0,t-test,0.2
439.0,194.0,0.0,0.0,modT (2-sample),0.2
517.0,196.0,5.0,2.0,cyberT,0.2
425.0,182.0,0.0,0.0,modT,0.2
447.0,119.0,1.0,0.0,t test (1-sample),0.2
424.0,176.0,0.0,0.0,t-test,0.2
427.0,188.0,2.0,0.0,modT (2-sample),0.2
530.0,204.0,0.0,0.0,cyberT,0.2
453.0,181.0,0.0,0.0,modT,0.2
438.0,114.0,0.0,0.0,t test (1-sample),0.2
464.0,172.0,0.0,0.0,t-test,0.2
468.0,199.0,0.0,0.0,modT (2-sample),0.2
527.0,207.0,1.0,1.0,cyberT,0.2
465.0,188.0,0.0,0.0,modT,0.2
451.0,121.0,0.0,0.0,t test (1-sample),0.2
448.0,175.0,0.0,0.0,t-test,0.2
446.0,209.0,0.0,0.0,modT (2-sample),0.2
491.0,206.0,3.0,1.0,cyberT,0.2
458.0,191.0,0.0,0.0,modT,0.2
431.0,131.0,0.0,0.0,t test (1-sample),0.2
447.0,179.0,0.0,0.0,t-test,0.2
436.0,203.0,0.0,0.0,modT (2-sample),0.2
515.0,236.0,1.0,3.0,cyberT,0.2
456.0,209.0,0.0,0.0,modT,0.2
442.0,127.0,0.0,0.0,t test (1-sample),0.2
433.0,186.0,0.0,0.0,t-test,0.2
462.0,226.0,0.0,0.0,modT (2-sample),0.2
550.0,216.0,2.0,0.0,cyberT,0.2
492.0,202.0,0.0,0.0,modT,0.2
487.0,125.0,0.0,0.0,t test (1-sample),0.2
493.0,183.0,0.0,0.0,t-test,0.2
501.0,205.0,0.0,0.0,modT (2-sample),0.2
497.0,191.0,2.0,0.0,cyberT,0.2
406.0,159.0,0.0,0.0,modT,0.2
405.0,137.0,0.0,0.0,t test (1-sample),0.2
433.0,198.0,0.0,0.0,t-test,0.2
434.0,188.0,0.0,0.0,modT (2-sample),0.2
525.0,206.0,6.0,2.0,cyberT,0.2
469.0,185.0,1.0,0.0,modT,0.2
446.0,131.0,0.0,0.0,t test (1-sample),0.2
450.0,195.0,0.0,0.0,t-test,0.2
477.0,197.0,0.0,0.0,modT (2-sample),0.2
478.0,202.0,3.0,0.0,cyberT,0.2
410.0,188.0,0.0,0.0,modT,0.2
456.0,119.0,0.0,0.0,t test (1-sample),0.2
463.0,185.0,0.0,0.0,t-test,0.2
415.0,195.0,0.0,0.0,modT (2-sample),0.2
519.0,200.0,1.0,0.0,cyberT,0.2
435.0,178.0,0.0,0.0,modT,0.2
457.0,130.0,0.0,0.0,t test (1-sample),0.2
449.0,192.0,0.0,0.0,t-test,0.2
443.0,202.0,0.0,0.0,modT (2-sample),0.2
531.0,204.0,3.0,0.0,cyberT,0.2
456.0,188.0,0.0,0.0,modT,0.2
443.0,124.0,0.0,0.0,t test (1-sample),0.2
440.0,174.0,0.0,0.0,t-test,0.2
459.0,195.0,0.0,0.0,modT (2-sample),0.2
553.0,210.0,8.0,2.0,cyberT,0.2
490.0,192.0,0.0,0.0,modT,0.2
469.0,132.0,2.0,0.0,t test (1-sample),0.2
463.0,181.0,0.0,0.0,t-test,0.2
500.0,211.0,0.0,0.0,modT (2-sample),0.2
512.0,186.0,2.0,0.0,cyberT,0.2
453.0,175.0,0.0,0.0,modT,0.2
413.0,138.0,0.0,0.0,t test (1-sample),0.2
438.0,172.0,0.0,0.0,t-test,0.2
439.0,175.0,1.0,0.0,modT (2-sample),0.2
539.0,198.0,6.0,1.0,cyberT,0.2
475.0,188.0,0.0,0.0,modT,0.2
440.0,124.0,0.0,0.0,t test (1-sample),0.2
454.0,164.0,0.0,0.0,t-test,0.2
471.0,202.0,0.0,0.0,modT (2-sample),0.2
526.0,200.0,4.0,0.0,cyberT,0.2
471.0,181.0,0.0,0.0,modT,0.2
489.0,127.0,0.0,0.0,t test (1-sample),0.2
455.0,185.0,0.0,0.0,t-test,0.2
461.0,205.0,0.0,0.0,modT (2-sample),0.2
512.0,201.0,2.0,2.0,cyberT,0.2
463.0,176.0,0.0,0.0,modT,0.2
431.0,120.0,0.0,0.0,t test (1-sample),0.2
444.0,175.0,0.0,0.0,t-test,0.2
455.0,200.0,0.0,0.0,modT (2-sample),0.2
507.0,204.0,4.0,3.0,cyberT,0.2
472.0,165.0,0.0,0.0,modT,0.2
446.0,126.0,0.0,0.0,t test (1-sample),0.2
426.0,164.0,1.0,0.0,t-test,0.2
452.0,188.0,1.0,0.0,modT (2-sample),0.2
516.0,219.0,0.0,1.0,cyberT,0.2
446.0,209.0,0.0,0.0,modT,0.2
436.0,137.0,0.0,0.0,t test (1-sample),0.2
461.0,202.0,0.0,0.0,t-test,0.2
448.0,214.0,0.0,0.0,modT (2-sample),0.2
534.0,214.0,8.0,4.0,cyberT,0.2
486.0,188.0,1.0,0.0,modT,0.2
464.0,138.0,0.0,0.0,t test (1-sample),0.2
477.0,198.0,0.0,0.0,t-test,0.2
488.0,200.0,0.0,0.0,modT (2-sample),0.2
563.0,187.0,2.0,0.0,cyberT,0.2
482.0,167.0,0.0,0.0,modT,0.2
494.0,114.0,0.0,0.0,t test (1-sample),0.2
506.0,177.0,0.0,0.0,t-test,0.2
498.0,183.0,0.0,0.0,modT (2-sample),0.2
522.0,206.0,4.0,1.0,cyberT,0.2
459.0,188.0,0.0,0.0,modT,0.2
433.0,140.0,0.0,0.0,t test (1-sample),0.2
465.0,176.0,0.0,0.0,t-test,0.2
451.0,207.0,0.0,0.0,modT (2-sample),0.2
536.0,196.0,4.0,0.0,cyberT,0.2
458.0,177.0,0.0,0.0,modT,0.2
438.0,143.0,0.0,0.0,t test (1-sample),0.2
450.0,209.0,0.0,0.0,t-test,0.2
469.0,204.0,0.0,0.0,modT (2-sample),0.2
476.0,209.0,0.0,0.0,cyberT,0.2
399.0,178.0,0.0,0.0,modT,0.2
429.0,142.0,0.0,0.0,t test (1-sample),0.2
418.0,181.0,0.0,1.0,t-test,0.2
422.0,191.0,0.0,0.0,modT (2-sample),0.2
514.0,224.0,6.0,1.0,cyberT,0.2
426.0,194.0,0.0,0.0,modT,0.2
436.0,135.0,0.0,0.0,t test (1-sample),0.2
450.0,187.0,0.0,0.0,t-test,0.2
440.0,220.0,0.0,0.0,modT (2-sample),0.2
519.0,230.0,7.0,2.0,cyberT,0.2
479.0,199.0,0.0,0.0,modT,0.2
448.0,126.0,0.0,0.0,t test (1-sample),0.2
413.0,176.0,0.0,0.0,t-test,0.2
441.0,212.0,0.0,0.0,modT (2-sample),0.2
479.0,218.0,11.0,5.0,cyberT,0.2
430.0,199.0,0.0,0.0,modT,0.2
435.0,131.0,0.0,0.0,t test (1-sample),0.2
435.0,196.0,0.0,0.0,t-test,0.2
408.0,217.0,0.0,0.0,modT (2-sample),0.2
530.0,211.0,2.0,1.0,cyberT,0.2
474.0,201.0,0.0,0.0,modT,0.2
456.0,129.0,0.0,0.0,t test (1-sample),0.2
472.0,173.0,0.0,0.0,t-test,0.2
459.0,193.0,0.0,0.0,modT (2-sample),0.2
531.0,190.0,0.0,0.0,cyberT,0.2
484.0,170.0,0.0,0.0,modT,0.2
445.0,136.0,0.0,0.0,t test (1-sample),0.2
468.0,163.0,0.0,0.0,t-test,0.2
491.0,183.0,0.0,0.0,modT (2-sample),0.2
516.0,212.0,1.0,1.0,cyberT,0.2
450.0,194.0,0.0,0.0,modT,0.2
412.0,143.0,0.0,0.0,t test (1-sample),0.2
426.0,170.0,0.0,0.0,t-test,0.2
433.0,201.0,0.0,0.0,modT (2-sample),0.2
512.0,213.0,1.0,0.0,cyberT,0.2
443.0,189.0,0.0,0.0,modT,0.2
438.0,124.0,0.0,0.0,t test (1-sample),0.2
471.0,193.0,0.0,0.0,t-test,0.2
445.0,197.0,0.0,0.0,modT (2-sample),0.2
484.0,200.0,1.0,0.0,cyberT,0.2
428.0,165.0,0.0,0.0,modT,0.2
402.0,116.0,0.0,0.0,t test (1-sample),0.2
428.0,167.0,0.0,0.0,t-test,0.2
418.0,177.0,0.0,0.0,modT (2-sample),0.2
553.0,215.0,0.0,0.0,cyberT,0.2
474.0,192.0,0.0,0.0,modT,0.2
431.0,125.0,1.0,0.0,t test (1-sample),0.2
453.0,204.0,0.0,0.0,t-test,0.2
478.0,209.0,0.0,0.0,modT (2-sample),0.2
493.0,210.0,1.0,0.0,cyberT,0.2
429.0,185.0,0.0,0.0,modT,0.2
424.0,126.0,0.0,0.0,t test (1-sample),0.2
461.0,187.0,0.0,0.0,t-test,0.2
434.0,211.0,0.0,0.0,modT (2-sample),0.2
518.0,216.0,0.0,0.0,cyberT,0.2
449.0,189.0,0.0,0.0,modT,0.2
459.0,132.0,0.0,0.0,t test (1-sample),0.2
442.0,168.0,0.0,0.0,t-test,0.2
458.0,204.0,0.0,0.0,modT (2-sample),0.2
516.0,201.0,2.0,1.0,cyberT,0.2
476.0,178.0,0.0,0.0,modT,0.2
461.0,119.0,0.0,0.0,t test (1-sample),0.2
465.0,160.0,0.0,0.0,t-test,0.2
445.0,195.0,0.0,0.0,modT (2-sample),0.2
549.0,194.0,1.0,0.0,cyberT,0.2
492.0,182.0,0.0,0.0,modT,0.2
429.0,126.0,0.0,0.0,t test (1-sample),0.2
468.0,186.0,0.0,0.0,t-test,0.2
465.0,196.0,0.0,0.0,modT (2-sample),0.2
551.0,202.0,8.0,0.0,cyberT,0.2
468.0,178.0,0.0,0.0,modT,0.2
456.0,120.0,0.0,0.0,t test (1-sample),0.2
469.0,176.0,0.0,0.0,t-test,0.2
479.0,197.0,0.0,0.0,modT (2-sample),0.2
502.0,223.0,0.0,0.0,cyberT,0.2
436.0,198.0,0.0,0.0,modT,0.2
464.0,117.0,0.0,0.0,t test (1-sample),0.2
443.0,181.0,1.0,0.0,t-test,0.2
438.0,209.0,0.0,0.0,modT (2-sample),0.2
522.0,185.0,1.0,0.0,cyberT,0.2
458.0,169.0,0.0,0.0,modT,0.2
443.0,114.0,0.0,0.0,t test (1-sample),0.2
446.0,177.0,1.0,0.0,t-test,0.2
435.0,191.0,0.0,0.0,modT (2-sample),0.2
503.0,222.0,7.0,1.0,cyberT,0.2
456.0,205.0,0.0,0.0,modT,0.2
430.0,115.0,0.0,0.0,t test (1-sample),0.2
471.0,193.0,0.0,0.0,t-test,0.2
454.0,214.0,0.0,0.0,modT (2-sample),0.2
506.0,191.0,9.0,6.0,cyberT,0.2
471.0,180.0,0.0,0.0,modT,0.2
439.0,134.0,0.0,0.0,t test (1-sample),0.2
456.0,190.0,0.0,0.0,t-test,0.2
434.0,196.0,0.0,0.0,modT (2-sample),0.2
513.0,215.0,3.0,6.0,cyberT,0.2
439.0,193.0,0.0,0.0,modT,0.2
439.0,134.0,0.0,0.0,t test (1-sample),0.2
436.0,176.0,0.0,0.0,t-test,0.2
459.0,222.0,0.0,0.0,modT (2-sample),0.2
498.0,220.0,0.0,0.0,cyberT,0.2
441.0,199.0,0.0,0.0,modT,0.2
456.0,131.0,0.0,0.0,t test (1-sample),0.2
446.0,184.0,0.0,0.0,t-test,0.2
412.0,216.0,0.0,0.0,modT (2-sample),0.2
529.0,226.0,2.0,1.0,cyberT,0.2
437.0,198.0,0.0,0.0,modT,0.2
432.0,130.0,0.0,0.0,t test (1-sample),0.2
467.0,200.0,0.0,0.0,t-test,0.2
450.0,222.0,0.0,0.0,modT (2-sample),0.2
517.0,222.0,3.0,4.0,cyberT,0.2
423.0,208.0,0.0,0.0,modT,0.2
458.0,142.0,0.0,0.0,t test (1-sample),0.2
440.0,200.0,1.0,0.0,t-test,0.2
435.0,213.0,0.0,0.0,modT (2-sample),0.2
505.0,208.0,1.0,0.0,cyberT,0.2
436.0,179.0,0.0,0.0,modT,0.2
431.0,129.0,0.0,1.0,t test (1-sample),0.2
412.0,177.0,0.0,0.0,t-test,0.2
