FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
482.0,209.0,0.0,0.0,cyberT,0.2
430.0,204.0,0.0,0.0,modT,0.2
482.0,122.0,0.0,0.0,t test (1-sample),0.2
470.0,158.0,0.0,0.0,t-test,0.2
455.0,205.0,0.0,0.0,modT (2-sample),0.2
464.0,177.0,0.0,0.0,cyberT,0.2
430.0,172.0,0.0,0.0,modT,0.2
461.0,93.0,0.0,0.0,t test (1-sample),0.2
448.0,122.0,0.0,0.0,t-test,0.2
442.0,174.0,0.0,0.0,modT (2-sample),0.2
453.0,179.0,0.0,0.0,cyberT,0.2
424.0,171.0,0.0,0.0,modT,0.2
455.0,101.0,0.0,0.0,t test (1-sample),0.2
448.0,111.0,0.0,0.0,t-test,0.2
435.0,173.0,0.0,0.0,modT (2-sample),0.2
512.0,174.0,0.0,0.0,cyberT,0.2
446.0,162.0,0.0,0.0,modT,0.2
470.0,113.0,0.0,0.0,t test (1-sample),0.2
455.0,125.0,0.0,0.0,t-test,0.2
475.0,165.0,0.0,0.0,modT (2-sample),0.2
439.0,171.0,0.0,0.0,cyberT,0.2
411.0,165.0,0.0,0.0,modT,0.2
452.0,83.0,1.0,0.0,t test (1-sample),0.2
453.0,132.0,0.0,0.0,t-test,0.2
416.0,166.0,0.0,0.0,modT (2-sample),0.2
494.0,164.0,0.0,0.0,cyberT,0.2
467.0,165.0,0.0,0.0,modT,0.2
455.0,99.0,0.0,0.0,t test (1-sample),0.2
471.0,113.0,0.0,0.0,t-test,0.2
471.0,165.0,0.0,0.0,modT (2-sample),0.2
449.0,157.0,0.0,0.0,cyberT,0.2
381.0,144.0,0.0,0.0,modT,0.2
458.0,88.0,0.0,0.0,t test (1-sample),0.2
467.0,117.0,1.0,0.0,t-test,0.2
414.0,154.0,0.0,0.0,modT (2-sample),0.2
447.0,188.0,0.0,0.0,cyberT,0.2
421.0,186.0,0.0,0.0,modT,0.2
405.0,90.0,0.0,0.0,t test (1-sample),0.2
409.0,127.0,0.0,0.0,t-test,0.2
416.0,185.0,0.0,0.0,modT (2-sample),0.2
483.0,172.0,0.0,0.0,cyberT,0.2
465.0,165.0,0.0,0.0,modT,0.2
